filed_utc,kind,title,link,creator,summary
2026-04-27T20:00:15Z,podcast,Podcast: Photonic quantum chips promise fast future,https://www.nsf.gov/news/podcast-photonic-quantum-chips-promise-fast-future,NSF,"Miloš Popović, an NSF-supported associate professor, discusses a collaboration that has built a photonic quantum system into a traditional electronic chip..."
2026-04-21T13:25:26Z,critical_minerals,Podcast: Increasing domestic critical minerals supplies,https://www.nsf.gov/news/podcast-increasing-domestic-critical-minerals-supplies,NSF,"Critical minerals play an essential role in modern technologies, and a domestic supply is essential for national security. Elizabeth Holley discusses recovering critical minerals from..."
2026-04-14T13:29:10Z,quantum,Podcast: The future of quantum computing,https://www.nsf.gov/news/podcast-future-quantum-computing,NSF,"The future of quantum information science and engineering promises computers with unprecedented speed and capabilities. Mikhail Lukin, an NSF-supported professor, discusses his work..."
2026-04-13T10:59:59Z,workforce_education,NSF announces 2026 Graduate Research Fellowship Program award offers,https://www.nsf.gov/news/nsf-announces-2026-graduate-research-fellowship-program,NSF,"The U.S. National Science Foundation (NSF) today announced that it has made offers and will award 2,500 Graduate Research Fellowships for the 2026-2027 academic year..."
2026-04-07T15:54:00Z,podcast,Podcast: AI-powered labs accelerating scientific discovery,https://www.nsf.gov/news/podcast-ai-powered-labs-accelerating-scientific-discovery,NSF,"U.S. National Science Foundation-supported engineers are developing a bold new vision for chemical and materials discovery. Milad Abolhasani, a professor in the Department of Chemical and Biomolecular Engineering at North Carolina State University…"
2026-03-25T16:00:05Z,ai_initiative,"NSF initiative aims to make every American worker, business and community AI-ready",https://www.nsf.gov/news/nsf-initiative-aims-make-every-american-worker-business,NSF,"The U.S. National Science Foundation announced a new funding opportunity as part of an effort to enable all Americans to understand, apply and create with artificial intelligence. The NSF TechAccess: AI-Ready America (NSF AI-Ready America) initiative…"
2026-03-24T14:00:08Z,critical_minerals,NSF announces winners of the U.S. critical minerals challenge to secure key domestic supply chain,https://www.nsf.gov/news/nsf-announces-winners-us-critical-minerals-challenge-secure,NSF,"The U.S. National Science Foundation Directorate for Technology, Innovation and Partnerships (NSF TIP) announced eight winners of the Tech Metal Transformation Challenge launched by STRIDE Ventures..."
2026-03-19T14:00:08Z,ai_initiative,NSF invests $11M to expand AI professional development for K-12 teachers nationwide,https://www.nsf.gov/news/nsf-invests-11m-expand-ai-professional-development-k-12,NSF,"The U.S. National Science Foundation today announced an $11 million award to the Computer Science Teachers Association (CSTA) in furtherance of the executive order on ""Advancing Artificial Intelligence Education for American Youth."" The award will…"
2026-02-25T18:00:11Z,space_astronomy,NSF-DOE Vera C. Rubin Observatory launches real-time discovery machine for monitoring the night sky,https://www.nsf.gov/news/nsf-doe-vera-c-rubin-observatory-launches-real-time,NSF,"NSF-DOE Rubin Observatory has issued its first scientific alerts, enabling dynamic, real-time observation of the night sky. The alerts are expected to increase to about 7 million per night..."
2026-02-24T15:00:07Z,space_astronomy,NSF to proceed with demolition and site restoration at Sacramento Peak Observatory,https://www.nsf.gov/news/nsf-proceed-demolition-site-restoration-sacramento-peak,NSF,"The U.S. National Science Foundation announced today it will proceed with demolition and site restoration at the Sacramento Peak Observatory, also known as Sunspot Solar Observatory, in Sunspot, New Mexico, following years of reduced operations and…"
2026-02-13T15:00:08Z,workforce_education,NSF launches $100M National Quantum and Nanotechnology Research Infrastructure program,https://www.nsf.gov/news/nsf-launches-100m-national-quantum-nanotechnology-research,NSF,"The U.S. National Science Foundation is investing up to $100 million to establish a nationwide network of open-access research facilities for quantum and nanoscale technologies, innovation, and workforce training. Through the new NSF National Quantum…"
2026-02-12T21:19:42Z,climate_earth,Transitioning NCAR-Wyoming Supercomputing Center operations,https://www.nsf.gov/news/transitioning-ncar-wyoming-supercomputing-center-operations,NSF,The U.S. National Science Foundation has informed the NSF National Center for Atmospheric Research (NCAR) that management and operations of the NCAR-Wyoming Supercomputing Center are expected to transition to a third-party operator consistent with…
2026-02-12T15:00:07Z,press,NSF announces first AI-ENGAGE awards to modernize global agriculture,https://www.nsf.gov/news/nsf-announces-first-ai-engage-awards-modernize-global,NSF,"The U.S. National Science Foundation, in coordination with partner agencies from Australia, India and Japan, today announced the first cohort of awards made under the Advancing Innovations for Empowering NextGen AGriculturE (AI-ENGAGE) initiative…"
2025-12-17T19:00:09Z,press,NSF and partners invest $9M in AI-focused math education program,https://www.nsf.gov/news/nsf-partners-invest-9m-ai-focused-math-education-program,NSF,"The U.S. National Science Foundation Directorate for Social, Behavioral, and Economic Sciences (NSF SBE) has launched the Collaboratory to Advance Mathematics Education and Learning (CAMEL)..."
2025-12-17T18:17:39Z,climate_earth,Intent to restructure critical weather science infrastructure,https://www.nsf.gov/news/intent-restructure-critical-weather-science-infrastructure,NSF,The U.S. National Science Foundation (NSF) announced today that the agency is reviewing the structure of the research and observational capabilities operated by the NSF National Center for Atmospheric Research (NCAR). NSF remains committed to…
