filed_utc,kind,title,link,summary
2026-04-27T19:36:01Z,press,NASA’s X-59 Gets Freedom 250 Logo,https://www.nasa.gov/image-article/nasas-x-59-gets-freedom-250-logo/,"NASA’s X-59 is helping the nation celebrate the 250th anniversary of its independence with an update to its livery – its official paint job and insignia. The one-of-a-kind research aircraft is the centerpiece of NASA’s Quesst mission to demonstrate technology to fly supersonic, or faster than the speed of sound, without generating loud sonic booms. […]"
2026-04-27T17:02:03Z,commercial,"NASA’s Perseverance, Curiosity Panoramas Capture Two Sides of Mars",https://www.nasa.gov/solar-system/planets/mars/nasas-perseverance-curiosity-panoramas-capture-two-sides-of-mars/,"NASA’s Curiosity and Perseverance rovers have captured two 360-degree landscapes that highlight how the missions are revealing details of the Red Planet’s formation, watery past, and potential for life. Located 2,345 miles (3,775 kilometers) apart from each other on Mars — about the distance from Los Angeles to Washington, D.C. — both rovers are exploring […]"
2026-04-27T15:54:01Z,human_spaceflight,You Can Help Humans Thrive in Space,https://science.nasa.gov/get-involved/citizen-science/you-can-help-humans-thrive-in-space/,"The second Artemis mission took four astronauts around the moon and back – the first crewed deep-space flight since 1972. Not everyone gets a chance to put on a space suit, but you can still be an important part of NASA’s human space exploration story by doing NASA science!"
2026-04-27T15:01:35Z,human_spaceflight,Volunteers Help NASA Astronauts Record Lunar Flashes,https://science.nasa.gov/get-involved/citizen-science/volunteers-help-nasa-astronauts-record-lunar-flashes/,"As NASA’s Artemis II astronauts zipped around the Moon in early April, they observed flashes of light caused by meteoroids hitting the lunar surface. At the same time, volunteers for the NASA-funded Impact Flash project scanned the Moon with their own telescopes and sent their videos to scientists to share what they saw from Earth."
2026-04-24T16:33:35Z,human_spaceflight,I Am Artemis: Peter Rossoni,https://www.nasa.gov/missions/artemis/i-am-artemis/i-am-artemis-peter-rossoni/,"Listen to this audio excerpt from Peter Rossoni, Orion Artemis II Optical Communications System flight manager: As a child, Peter Rossoni watched the Apollo missions launch with his family. In April 2026, he became a part of NASA’s Artemis II mission, helping enable communications as astronauts journeyed around the Moon. Rossoni’s path to NASA began […]"
2026-04-24T14:56:35Z,science_mission,The Day of the Trifid Nebula,https://www.nasa.gov/image-article/the-day-of-the-trifid-nebula/,"This shimmering region of star-formation, a close-up of the Trifid Nebula about 5,000 light-years from Earth, was captured in intricate detail by NASA’s Hubble Space Telescope in an image released on April 20, 2026. The colors in Hubble’s visible light image, which marks the 36th anniversary of the mission’s launch on April 24, are reminiscent of an underwater […]"
2026-04-24T14:47:12Z,human_spaceflight,NASA Astronauts to Answer Questions from Missouri Students,https://www.nasa.gov/news-release/nasa-astronauts-to-answer-questions-from-missouri-students/,"Students in Missouri will hear from NASA astronauts Jessica Meir and Jack Hathaway as they answer prerecorded science, technology, engineering, and mathematics (STEM) questions while aboard the International Space Station. The Earth-to-space call will begin at 10:50 a.m. EDT Thursday, April 30, and will stream live on the agency’s Learn With NASA YouTube channel. This […]"
2026-04-24T13:04:54Z,award,NASA Celebrates Decade of University Innovation in Aeronautics,https://www.nasa.gov/aeronautics/university-innovation-uli-at-10/,"For 10 years, a NASA initiative has helped the agency produce breakthrough aeronautical innovations while fostering the aviation workforce of tomorrow – and the University Leadership Initiative (ULI) is still flying high, making awards with the potential to change 21st century air travel. Through ULI, NASA has supported more than 1,100 students at 100 schools, allowing them […]"
2026-04-24T04:01:00Z,press,An Agricultural Mosaic in Taiwan,https://science.nasa.gov/earth/human-dimensions/agriculture/an-agricultural-mosaic-in-taiwan/,Diversity reigns across the farmland of Yunlin County in southwestern Taiwan—a region that produces an array of crops on small farms.
2026-04-23T23:24:14Z,exploration,Johnson Leaders Honored by National Space Club & Foundation,https://www.nasa.gov/centers-and-facilities/johnson/johnson-leaders-honored-by-national-space-club-foundation/,"The National Space Club & Foundation announced its annual award recipients March 13, 2026, in Washington, D.C. Two dedicated leaders from NASA’s Johnson Space Center were recognized for their contributions to human spaceflight. Orion Program Manager Howard Hu received the Norman L. Baker Astronautics Engineer Award for sustained technical contributions to multiple human spaceflight efforts. Hu lea"
