kind,title,authors,summary,news_site,published_at,url,captured_at
article,"Launch Preview: Falcon Heavy returns, Atlas V and Ariane 6 to launch Amazon Leo satellites",Eleanor Day,"Six launches are expected from Florida, California, and French Guiana this week, with SpaceX scheduled…
The post Launch Preview: Falcon Heavy returns, Atlas V and Ariane 6 to launch Amazon Leo satellites appeared first o",NASASpaceflight,2026-04-27T20:21:29,https://www.nasaspaceflight.com/2026/04/launch-preview-042726/,2026-04-27T23:12:05Z
blog,Crew Awaits Space Cargo Delivery and Works Advanced Life Science,NASA,"A Progress 95 cargo craft is orbiting Earth on its way to resupply the Expedition 74 with about three tons of food, fuel, and supplies. Two cosmonauts will be on duty monitoring the Progress 95 when it automatically dock",NASA,2026-04-27T20:00:21,https://www.nasa.gov/blogs/spacestation/2026/04/27/crew-awaits-space-cargo-delivery-and-works-advanced-life-science/,2026-04-27T23:12:05Z
article,NASA’s X-59 Gets Freedom 250 Logo,NASA,NASA’s X-59 is helping the nation celebrate the 250th anniversary of its independence with an update to its livery – its official paint job and insignia. The one-of-a-kind research aircraft is the centerpiece of NASA’s Q,NASA,2026-04-27T19:36:01,https://www.nasa.gov/image-article/nasas-x-59-gets-freedom-250-logo/,2026-04-27T23:12:05Z
article,Live coverage: ULA to launch 29 Amazon Leo satellites on Atlas 5 rocket from Cape Canaveral,Will Robinson-Smith,"The mission, dubbed Amazon Leo 6 by United Launch Alliance and Leo Atlas 6 (LA-06) by Amazon Leo, is the 10th batch of production satellites launched to orbit. Liftoff from pad 41 at Cape Canaveral Space Force Station is",Spaceflight Now,2026-04-27T19:10:22,https://spaceflightnow.com/2026/04/27/live-coverage-ula-to-launch-29-amazon-leo-satellites-on-atlas-5-rocket-from-cape-canaveral/,2026-04-27T23:12:05Z
article,"NASA’s Perseverance, Curiosity Panoramas Capture Two Sides of Mars",NASA,"NASA’s Curiosity and Perseverance rovers have captured two 360-degree landscapes that highlight how the missions are revealing details of the Red Planet’s formation, watery past, and potential for life. Located 2,345 mil",NASA,2026-04-27T17:02:03,https://www.nasa.gov/solar-system/planets/mars/nasas-perseverance-curiosity-panoramas-capture-two-sides-of-mars/,2026-04-27T23:12:05Z
article,You Can Help Humans Thrive in Space,NASA,"The second Artemis mission took four astronauts around the moon and back – the first crewed deep-space flight since 1972. Not everyone gets a chance to put on a space suit, but you can still be an important part of NASA’",NASA,2026-04-27T15:54:01,https://science.nasa.gov/get-involved/citizen-science/you-can-help-humans-thrive-in-space/,2026-04-27T23:12:05Z
article,Volunteers Help NASA Astronauts Record Lunar Flashes,NASA,"As NASA’s Artemis II astronauts zipped around the Moon in early April, they observed flashes of light caused by meteoroids hitting the lunar surface. At the same time, volunteers for the NASA-funded Impact Flash project ",NASA,2026-04-27T15:01:35,https://science.nasa.gov/get-involved/citizen-science/volunteers-help-nasa-astronauts-record-lunar-flashes/,2026-04-27T23:12:05Z
article,"Gateway manufacturer finally acknowledges issue, fails to mention ""corrosion""",Eric Berger,"""At this time, further comments would be premature.""",Arstechnica,2026-04-27T14:02:43,https://arstechnica.com/space/2026/04/gateway-manufacturer-finally-acknowledges-issue-fails-to-mention-corrosion/,2026-04-27T23:12:05Z
article,ESA Paid €51.65 Million to Launch Sentinel-1C on Vega-C Return to Flight,European Spaceflight,European Space Agency disclosures show that the agency paid more than €51 million to launch the European Commission’s Sentinel-1C Earth observation satellite aboard a Vega C rocket on 5 December 2024. The flight marked t,European Spaceflight,2026-04-27T06:00:39,https://europeanspaceflight.com/esa-paid-e51-65-million-to-launch-sentinel-1c-on-vega-c-return-to-flight/,2026-04-27T23:12:05Z
article,Live coverage: SpaceX to launch final ViaSat-3 satellite on Falcon Heavy rocket,Will Robinson-Smith,This will be the 12th launch of a Falcon Heavy rocket to date and the first use of Landing Zone 2 and Landing Zone 40 simultaneously. Liftoff from Launch Complex 39A at NASA’s Kennedy Space Center is scheduled for 10:21 ,Spaceflight Now,2026-04-27T00:46:54,https://spaceflightnow.com/2026/04/27/live-coverage-spacex-to-launch-final-viasat-3-satellite-on-falcon-heavy-rocket/,2026-04-27T23:12:05Z
article,SpaceX set to launch Falcon Heavy on Monday after 18 month hiatus,Sawyer Rosenstein,"After a hiatus of more than a year and a half, SpaceX’s Falcon Heavy rocket…
The post SpaceX set to launch Falcon Heavy on Monday after 18 month hiatus appeared first on NASASpaceFlight.com.",NASASpaceflight,2026-04-26T20:37:19,https://www.nasaspaceflight.com/2026/04/viasat-3-f3-falcon-heavy/,2026-04-27T23:12:05Z
article,Curiosity Rover uncovers fresh organic clues on Ancient Mars,Martijn Luinstra and Chris Bergin,"In a significant step forward for the search for signs of ancient life beyond Earth,…
The post Curiosity Rover uncovers fresh organic clues on Ancient Mars appeared first on NASASpaceFlight.com.",NASASpaceflight,2026-04-26T19:10:07,https://www.nasaspaceflight.com/2026/04/nasas-curiosity-rover-organic-clues-mars/,2026-04-27T23:12:05Z
article,"What’s Happening in Space Policy April 26-May 2, 2026",Marcia Smith,"Here is SpacePolicyOnline.com’s list of space policy events for the week of April 26-May 2, 2026 and any insight we can offer about them. The House and Senate are in […]",SpacePolicyOnline.com,2026-04-26T16:03:32,https://spacepolicyonline.com/news/whats-happening-in-space-policy-april-26-may-2-2026/,2026-04-27T23:12:05Z
article,Live Coverage: SpaceX to fly 25 Starlink satellites on its 50th Falcon 9 launch of the year,Spaceflight Now,Liftoff of the Starlink 17-16 mission from Space Launch Complex 4 East is scheduled for 7:37 a.m. PDT (10:37 am EDT / 1437 UTC).,Spaceflight Now,2026-04-26T13:38:21,https://spaceflightnow.com/2026/04/26/live-coverage-spacex-to-fly-25-starlink-satellites-on-its-50th-falcon-9-launch-of-the-year/,2026-04-27T23:12:05Z
blog,Progress 95 Cargo Craft Launches to Resupply Station Crew,NASA,"The unpiloted Roscosmos Progress 95 spacecraft is safely in orbit and headed to the International Space Station following its launch at 6:21 p.m. EDT (3:21 a.m. Baikonur time Sunday, April 26) on a Soyuz rocket from the ",NASA,2026-04-25T22:49:38,https://www.nasa.gov/blogs/spacestation/2026/04/25/progress-95-cargo-craft-launches-to-resupply-station-crew/,2026-04-27T23:12:05Z
blog,Progress 95 Cargo Craft Counts Down to Launch on NASA+,NASA,"The unpiloted Progress 95 spacecraft is scheduled to launch at 6:21 p.m. EDT (3:21 a.m. Baikonur time Sunday, April 26) on a Soyuz rocket from the Baikonur Cosmodrome in Kazakhstan. The Roscosmos spacecraft will carry ab",NASA,2026-04-25T22:02:04,https://www.nasa.gov/blogs/spacestation/2026/04/25/progress-95-cargo-craft-counts-down-to-launch-on-nasa/,2026-04-27T23:12:05Z
article,Progress MS-34 to launch from Baikonur for ISS cargo delivery,Justin Davenport,"Two weeks after the CRS NG-24 mission launched cargo to the International Space Station (ISS),…
The post Progress MS-34 to launch from Baikonur for ISS cargo delivery appeared first on NASASpaceFlight.com.",NASASpaceflight,2026-04-25T16:30:36,https://www.nasaspaceflight.com/2026/04/progress-ms34/,2026-04-27T23:12:05Z
article,​​Rheinmetall Signs Agreement for New Satellite Testing Facility in Norway,European Spaceflight,German aerospace and defence manufacturer Rheinmetall has signed a Letter of Intent with the municipality of Andøy for the establishment of a new satellite test facility in Norway. Signed through its subsidiary Rheinmeta,European Spaceflight,2026-04-25T11:16:55,https://europeanspaceflight.com/rheinmetall-signs-agreement-for-new-satellite-testing-facility-in-norway/,2026-04-27T23:12:05Z
blog,Cargo Mission Launching Saturday as Crew Wraps Week with Research,NASA,The Progress 95 cargo spacecraft from Roscosmos stands atop its launch pad at the Baikonur Cosmodrome in Kazakhstan counting down to a liftoff at  6:21p.m. EDT on Saturday to resupply the Expedition 74 crew.,NASA,2026-04-24T18:24:33,https://www.nasa.gov/blogs/spacestation/2026/04/24/cargo-mission-launching-saturday-as-crew-wraps-week-with-research/,2026-04-27T23:12:05Z
article,I Am Artemis: Peter Rossoni,NASA,"Listen to this audio excerpt from Peter Rossoni, Orion Artemis II Optical Communications System flight manager: As a child, Peter Rossoni watched the Apollo missions launch with his family. In April 2026, he became a par",NASA,2026-04-24T16:33:35,https://www.nasa.gov/missions/artemis/i-am-artemis/i-am-artemis-peter-rossoni/,2026-04-27T23:12:05Z
article,ESA Sheds Light on NASA Administrator’s Claims on Gateway Modules,European Spaceflight,"The European Space Agency has provided additional detail in response to claims made by NASA Administrator Jared Isaacman regarding the condition of Gateway space station modules already delivered to the agency, offering ",European Spaceflight,2026-04-24T14:58:03,https://europeanspaceflight.com/esa-sheds-light-on-nasa-administrators-claims-on-gateway-modules/,2026-04-27T23:12:05Z
article,The Day of the Trifid Nebula,NASA,"This shimmering region of star-formation, a close-up of the Trifid Nebula about 5,000 light-years from Earth, was captured in intricate detail by NASA’s Hubble Space Telescope in an image released on April 20, 2026. The ",NASA,2026-04-24T14:56:35,https://www.nasa.gov/image-article/the-day-of-the-trifid-nebula/,2026-04-27T23:12:05Z
article,"Well, this is embarrassing: The Lunar Gateway's primary modules are corroded",Eric Berger,"""Preliminary findings indicate that the issue likely results from a combination of factors.""",Arstechnica,2026-04-24T14:47:19,https://arstechnica.com/space/2026/04/well-this-is-embarrassing-the-lunar-gateways-primary-modules-are-corroded/,2026-04-27T23:12:05Z
article,NASA Astronauts to Answer Questions from Missouri Students,NASA,"Students in Missouri will hear from NASA astronauts Jessica Meir and Jack Hathaway as they answer prerecorded science, technology, engineering, and mathematics (STEM) questions while aboard the International Space Statio",NASA,2026-04-24T14:47:12,https://www.nasa.gov/news-release/nasa-astronauts-to-answer-questions-from-missouri-students/,2026-04-27T23:12:05Z
article,Week in images: 20-24 April 2026,ESA,Week in images: 20-24 April 2026,ESA,2026-04-24T13:15:00,https://www.esa.int/About_Us/Week_in_images/Week_in_images_20-24_April_2026,2026-04-27T23:12:05Z
