filed_utc,kind,title,link,summary
2026-04-27T22:44:56Z,opm_hr_govex,House GOP on Trump’s 2027 pay freeze: ‘That’s politics’,https://www.govexec.com/pay-benefits/2026/04/house-gop-trumps-2027-pay-freeze/413148/,Republicans on the House Appropriations Committee last week beat back multiple attempts to increase federal workers’ pay next year and restore their workplace rights.
2026-04-27T22:19:30Z,fed_mgmt,Former civil servants aim to shape policy as members of Congress,https://www.govexec.com/management/2026/04/former-civil-servants-aim-shape-policy-members-congress/413147/,Dozens of federal employees who left or were pushed out of government in 2025 are now running for office.
2026-04-27T20:48:58Z,budget_fy,"Agencies doled out $186B in improper payments last year, GAO says",https://www.govexec.com/oversight/2026/04/agencies-doled-out-186b-improper-payments-last-year-gao-says/413142/,"That fiscal year 2025 improper payment number is up by $24 billion from the previous fiscal year, even as the Trump administration says that it’s tamping down on fraud."
2026-04-27T18:55:28Z,opm_hr_govex,"From bowling repairs to zoology, Trump admin consolidates job titles affecting 5,000 feds",https://www.govexec.com/workforce/2026/04/bowling-zoology-trump-admin-job-titles-5000-feds/413131/,The impacted employees will not lose their jobs and OPM says it will help them be more agile.
2026-04-27T11:00:00Z,fed_mgmt,The ‘doers’ need a budget: Why a $100 million council fund can end federal management failures,https://www.govexec.com/management/2026/04/100-million-council-fund-federal-management-failures/413107/,"COMMENTARY | The CFO, CIO, and CHCO councils are full of ""doers"" who have the knowledge to fix pervasive government failures. Congress must grant them a direct, unrestricted $100 million budget, bypassing OMB, to finally test and scale solutions across federal silos."
2026-04-26T02:33:25Z,leadership_confirm,Trump evacuated from White House Correspondents’ Dinner after shots fired,https://www.govexec.com/management/2026/04/trump-evacuated-correspondents-dinner-shots-fired/413119/,"Security forces responded to an incident near a screening area, and authorities took one person into custody."
2026-04-24T19:10:19Z,budget_fy,Senate advances GOP budget blueprint to boost ICE and Border Patrol funding,https://www.govexec.com/management/2026/04/senate-gop-budget-boost-ice-border-patrol-funding/413113/,The measure cleared 50-48 after a marathon amendment session and sets up a reconciliation path for immigration enforcement spending.
2026-04-24T18:49:32Z,fed_mgmt,NIST is giving fingerprint examiners better tools for a messy job,https://www.govexec.com/technology/2026/04/nist-fingerprint-examiners-tools-messy-job/413111/,"COMMENTARY | A newly annotated fingerprint dataset combined with open-source software could help forensic examiners work more consistently, train more effectively and sort through evidence faster."
2026-04-24T12:00:00Z,fed_mgmt,Fed employee appeals system independence at stake in new Supreme Court brief,https://www.govexec.com/management/2026/04/fed-employee-appeals-system-independence-supreme-court/413082/,The high court has heard arguments in a similar case regarding the president’s authority to remove members of quasi-judicial agencies.
2026-04-24T11:00:00Z,fed_mgmt,Catch me if you can’t: How fraudsters are outpacing the government,https://www.govexec.com/oversight/2026/04/catch-me-if-you-cant-how-fraudsters-are-outpacing-government/413071/,COMMENTARY | The government must stop chasing money lost to fraud and instead focus on preventing the crime before payments go out. This requires policy changes so agencies can share information and be rewarded for stopping losses at the source.
2026-04-23T22:03:26Z,usps_postal_policy,Executive order on mail ballots tests limits of Postal Service independence,https://www.govexec.com/management/2026/04/executive-order-mail-ballots-tests-limits-postal-service-independence/413085/,Postal experts and former officials say the directive could reshape longstanding boundaries between the White House and the Postal Service and is already facing legal challenges over its authority and impact on election administration.
2026-04-23T21:15:07Z,fed_mgmt,"USDA kicks off more employee relocations, including some that spark déjà vu",https://www.govexec.com/workforce/2026/04/usda-kicks-more-employee-relocations-including-some-spark-deja-vu/413078/,"Hundreds of employees will be reassigned to Iowa, Missouri, Colorado and elsewhere."
2026-04-23T21:00:00Z,gao_oig_govex,"IRS lacks transparent plans to leverage tech in the face of staffing cuts, GAO and employees say",https://www.govexec.com/technology/2026/04/irs-lacks-transparent-plans-leverage-tech-face-staffing-cuts-gao-and-employees-say/413077/,"Agency leaders are “shoving AI at us,” one IRS employee said, despite the fact that “they don’t have the right tools for us yet.”"
2026-04-23T19:00:00Z,fed_mgmt,They did everything right and still haven’t been paid,https://www.govexec.com/pay-benefits/2026/04/everything-right-still-havent-been-paid/413066/,"Months after retiring, some federal workers are stuck in a bureaucratic maze with no checks, no answers and no clear end in sight."
