source,published,title,link,ticker_guess,tags
PRNewswire,"Mon, 27 Apr 2026 22:54:00 +0000",Fuel Retailers Applaud Legislation to Extend Biodiesel Blenders' Tax Credit,https://www.prnewswire.com/news-releases/fuel-retailers-applaud-legislation-to-extend-biodiesel-blenders-tax-credit-302754885.html,,
PRNewswire,"Mon, 27 Apr 2026 22:47:00 +0000",CANNON RESOURCES ANNOUNCES ROBUST PRELIMINARY ECONOMIC ASSESSMENT FOR THE FISHER EAST NICKEL PROJECT,https://www.prnewswire.com/news-releases/cannon-resources-announces-robust-preliminary-economic-assessment-for-the-fisher-east-nickel-project-826726609.html,,
PRNewswire,"Mon, 27 Apr 2026 22:47:00 +0000",CANNON RESOURCES ANNOUNCES ROBUST PRELIMINARY ECONOMIC ASSESSMENT FOR THE FISHER EAST NICKEL PROJECT,https://www.prnewswire.com/news-releases/cannon-resources-announces-robust-preliminary-economic-assessment-for-the-fisher-east-nickel-project-302754881.html,,
PRNewswire,"Mon, 27 Apr 2026 22:42:00 +0000","Employment &amp; Labor Law Attorneys, at Blumenthal Nordrehaug Bhowmik De Blouw LLP, File Suit Against Catalyst Family Inc., for Alleged Failure to Pay Accurate Wages",https://www.prnewswire.com/news-releases/employment--labor-law-attorneys-at-blumenthal-nordrehaug-bhowmik-de-blouw-llp-file-suit-against-catalyst-family-inc-for-alleged-failure-to-pay-accurate-wages-302753704.html,,
PRNewswire,"Mon, 27 Apr 2026 22:38:00 +0000","Industry and Policy Leaders Gather for North American Environment, Energy &amp; Natural Resources Conference at UH Law",https://www.prnewswire.com/news-releases/industry-and-policy-leaders-gather-for-north-american-environment-energy--natural-resources-conference-at-uh-law-302754879.html,,
PRNewswire,"Mon, 27 Apr 2026 22:36:00 +0000","3,000 LAUSD TEAMSTERS OVERWHELMINGLY RATIFY CONTRACT",https://www.prnewswire.com/news-releases/3-000-lausd-teamsters-overwhelmingly-ratify-contract-302754877.html,,
PRNewswire,"Mon, 27 Apr 2026 22:35:00 +0000",Mayfair Gold Provides Update on Project Work in the First Quarter of 2026 Advancing and Derisking the Fenn-Gib Gold Project,https://www.prnewswire.com/news-releases/mayfair-gold-provides-update-on-project-work-in-the-first-quarter-of-2026-advancing-and-derisking-the-fenn-gib-gold-project-302754876.html,,
PRNewswire,"Mon, 27 Apr 2026 22:33:00 +0000",DRVN 11-DAY DEADLINE ALERT: Driven Brands Holdings Inc. Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action Alleging Pervasive Accounting Errors and Internal Control Failures - Hagens Berman,https://www.prnewswire.com/news-releases/drvn-11-day-deadline-alert-driven-brands-holdings-inc-securities-fraud-lawsuit---investors-with-losses-may-seek-to-lead-the-class-action-alleging-pervasive-accounting-errors-and-internal-control-failures--hagens-berman-302754842.html,DRVN,SHORT_REPORT
PRNewswire,"Mon, 27 Apr 2026 22:30:00 +0000",SLNO 8-DAY DEADLINE ALERT: Hagens Berman Alerts Soleno Therapeutics (SLNO) Investors to Securities Class Action Alleging Hyperphagia Drug Launch Disruptions - Hagens Berman,https://www.prnewswire.com/news-releases/slno-8-day-deadline-alert-hagens-berman-alerts-soleno-therapeutics-slno-investors-to-securities-class-action-alleging-hyperphagia-drug-launch-disruptions--hagens-berman-302754846.html,SLNO,
PRNewswire,"Mon, 27 Apr 2026 22:27:00 +0000","EOSE 8-DAY DEADLINE ALERT: Eos Energy (EOSE) Facing Securities Class Action Alleging Misstatements on Production Scale, Guidance - Hagens Berman",https://www.prnewswire.com/news-releases/eose-8-day-deadline-alert-eos-energy-eose-facing-securities-class-action-alleging-misstatements-on-production-scale-guidance--hagens-berman-302754833.html,EOSE,
PRNewswire,"Mon, 27 Apr 2026 22:25:00 +0000","COTY SHAREHOLDER NOTICE: Coty Inc. (COTY) Sued After Surprise Profit Decline, CEO Exit, and Withdrawn 2026 Guidance -- Hagens Berman",https://www.prnewswire.com/news-releases/coty-shareholder-notice-coty-inc-coty-sued-after-surprise-profit-decline-ceo-exit-and-withdrawn-2026-guidance----hagens-berman-302754825.html,COTY,
PRNewswire,"Mon, 27 Apr 2026 22:23:00 +0000","Elanco's Negasunt™ Powder (Coumaphos, Propoxur, Sulfanilamide Topical Powder) and Tanidil™ (Coumaphos, Propoxur) Receive Emergency Authorization for Use Against New World Screwworm in Livestock",https://www.prnewswire.com/news-releases/elancos-negasunt-powder-coumaphos-propoxur-sulfanilamide-topical-powder-and-tanidil-coumaphos-propoxur-receive-emergency-authorization-for-use-against-new-world-screwworm-in-livestock-302754870.html,,
PRNewswire,"Mon, 27 Apr 2026 22:22:00 +0000",Zentiva sa odvoláva proti rozhodnutiu súdu EÚ o smernici o komunálnych odpadových vodách,https://www.prnewswire.com/news-releases/zentiva-sa-odvolava-proti-rozhodnutiu-sudu-eu-o-smernici-o-komunalnych-odpadovych-vodach-302754869.html,,
PRNewswire,"Mon, 27 Apr 2026 22:19:00 +0000",Lufax Holding (LU) Faces Securities Class Action Amid Firing Auditor Who Raised Red Flags -- Hagens Berman,https://www.prnewswire.com/news-releases/lufax-holding-lu-faces-securities-class-action-amid-firing-auditor-who-raised-red-flags----hagens-berman-302754820.html,LU,
PRNewswire,"Mon, 27 Apr 2026 22:17:00 +0000","Hercules Capital (HTGC) Under Fire: Class Action Filed After Allegations of Copying Google Ventures, Misstated Marks, and PIK Loans -- Hagens Berman",https://www.prnewswire.com/news-releases/hercules-capital-htgc-under-fire-class-action-filed-after-allegations-of-copying-google-ventures-misstated-marks-and-pik-loans----hagens-berman-302754827.html,HTGC,
PRNewswire,"Mon, 27 Apr 2026 22:16:00 +0000",Gemini Space Station (GEMI) Facing Securities Class Action Following 75% Post-IPO Collapse - Hagens Berman,https://www.prnewswire.com/news-releases/gemini-space-station-gemi-facing-securities-class-action-following-75-post-ipo-collapse--hagens-berman-302754809.html,,
PRNewswire,"Mon, 27 Apr 2026 22:15:00 +0000","APO 4-DAY DEADLINE ALERT: Hagens Berman Alerts Apollo Global Management (APO) Investors to Securities Class Action Stemming From ""Epstein Files"" Revelations",https://www.prnewswire.com/news-releases/apo-4-day-deadline-alert-hagens-berman-alerts-apollo-global-management-apo-investors-to-securities-class-action-stemming-from-epstein-files-revelations-302754791.html,APO,
PRNewswire,"Mon, 27 Apr 2026 22:15:00 +0000",LifeStance Health Group Set to Join S&amp;P SmallCap 600,https://www.prnewswire.com/news-releases/lifestance-health-group-set-to-join-sp-smallcap-600-302754864.html,VICI,
PRNewswire,"Mon, 27 Apr 2026 22:13:00 +0000","Pudu Robotics inaugure son siège social américain à Dallas, accélérant ainsi sa croissance à long terme sur le continent américain",https://www.prnewswire.com/news-releases/pudu-robotics-inaugure-son-siege-social-americain-a-dallas-accelerant-ainsi-sa-croissance-a-long-terme-sur-le-continent-americain-302754863.html,,
PRNewswire,"Mon, 27 Apr 2026 22:07:00 +0000",NOVATAE RISK GROUP NAMES J. CLAY KADLIC NEW VP STRATEGIC PARTNERSHIPS,https://www.prnewswire.com/news-releases/novatae-risk-group-names-j-clay-kadlic-new-vp-strategic-partnerships-302754858.html,,PARTNERSHIP
GlobeNewswire,"Mon, 27 Apr 2026 22:52 GMT","MINILUXE REPORTS FULL-YEAR FINANCIAL RESULTS FOR YEAR ENDED DECEMBER 28, 2025",https://www.globenewswire.com/news-release/2026/04/27/3282144/0/en/MINILUXE-REPORTS-FULL-YEAR-FINANCIAL-RESULTS-FOR-YEAR-ENDED-DECEMBER-28-2025.html,,
GlobeNewswire,"Mon, 27 Apr 2026 22:40 GMT",First Stoping Operations at Perseus Mining's CMA Underground,https://www.globenewswire.com/news-release/2026/04/27/3282140/0/en/First-Stoping-Operations-at-Perseus-Mining-s-CMA-Underground.html,,
GlobeNewswire,"Mon, 27 Apr 2026 22:30 GMT",Five Star Bancorp Announces First Quarter 2026 Results,https://www.globenewswire.com/news-release/2026/04/27/3282138/0/en/Five-Star-Bancorp-Announces-First-Quarter-2026-Results.html,,
GlobeNewswire,"Mon, 27 Apr 2026 22:26 GMT",Colabor Group Inc. Announces Completion of CCAA Transactions,https://www.globenewswire.com/news-release/2026/04/27/3282135/0/en/Colabor-Group-Inc-Announces-Completion-of-CCAA-Transactions.html,,
GlobeNewswire,"Mon, 27 Apr 2026 22:26 GMT",Groupe Colabor Inc. annonce la réalisation de transactions en vertu de la LACC,https://www.globenewswire.com/news-release/2026/04/27/3282135/0/fr/Groupe-Colabor-Inc-annonce-la-r%C3%A9alisation-de-transactions-en-vertu-de-la-LACC.html,,
GlobeNewswire,"Mon, 27 Apr 2026 22:05 GMT",Global Ship Lease Announces Annual Meeting of Shareholders,https://www.globenewswire.com/news-release/2026/04/27/3282128/0/en/Global-Ship-Lease-Announces-Annual-Meeting-of-Shareholders.html,GSL,SHORT_REPORT
GlobeNewswire,"Mon, 27 Apr 2026 22:00 GMT",Rubicon Organics to Report Q1 2026 Results; Announces Line of Credit Amendment,https://www.globenewswire.com/news-release/2026/04/27/3282125/0/en/Rubicon-Organics-to-Report-Q1-2026-Results-Announces-Line-of-Credit-Amendment.html,,
GlobeNewswire,"Mon, 27 Apr 2026 21:45 GMT",NOV Reports First Quarter 2026 Earnings,https://www.globenewswire.com/news-release/2026/04/27/3282118/0/en/NOV-Reports-First-Quarter-2026-Earnings.html,,
GlobeNewswire,"Mon, 27 Apr 2026 21:39 GMT",Performance Shipping Inc. Announces Filing of 2025 Annual Report on Form 20-F,https://www.globenewswire.com/news-release/2026/04/27/3282111/14069/en/Performance-Shipping-Inc-Announces-Filing-of-2025-Annual-Report-on-Form-20-F.html,PSHG,
GlobeNewswire,"Mon, 27 Apr 2026 21:37 GMT",Biomea Fusion Announces Positive 52-Week Results from Phase 2 COVALENT-112 Trial in Type 1 Diabetes Showing C-Peptide Improvement and Durability Following 12-Weeks of Icovamenib Treatment,https://www.globenewswire.com/news-release/2026/04/27/3282109/0/en/Biomea-Fusion-Announces-Positive-52-Week-Results-from-Phase-2-COVALENT-112-Trial-in-Type-1-Diabetes-Showing-C-Peptide-Improvement-and-Durability-Following-12-Weeks-of-Icovamenib-Tr.html,,
