filed,kind,title,url,captured_at
2026-04-23,rulemaking,CSA announces adoption of final amendments to trading fee caps charged by marketplaces,https://www.securities-administrators.ca/news/csa-announces-adoption-of-final-amendments-to-trading-fee-caps-charged-by-marketplaces/,2026-04-27T22:56:57Z
2026-04-21,press,Canada’s Joint Forum of Financial Market Regulators discuss retiree’s financial security at Annual Meeting in Montreal,https://www.securities-administrators.ca/news/canadas-joint-forum-of-financial-market-regulators-discuss-retirees-financial-security-at-annual-meeting-in-montreal/,2026-04-27T22:56:57Z
2026-04-16,investor_alert,Investor Alert: Ramp-and-dump scams surge as fraudulent “investment groups” target unsuspecting investors,https://www.securities-administrators.ca/news/investor-alert-ramp-and-dump-scams-surge-as-fraudulent-investment-groups-target-unsuspecting-investors/,2026-04-27T22:56:57Z
2026-04-09,consultation,CSA publishes proposed amendment to insider reporting requirements for comment,https://www.securities-administrators.ca/news/csa-publishes-proposed-amendment-to-insider-reporting-requirements-for-comment/,2026-04-27T22:56:57Z
2026-04-02,review,Canadian securities regulators report on key oversight activities of CIRO and CIPF,https://www.securities-administrators.ca/news/canadian-securities-regulators-report-on-key-oversight-activities-of-ciro-and-cipf/,2026-04-27T22:56:57Z
2026-04-02,prediction_market,Prediction markets: CSA and CIRO remind industry and investors of the current rules,https://www.securities-administrators.ca/news/prediction-markets-csa-and-ciro-remind-industry-and-investors-of-the-current-rules/,2026-04-27T22:56:57Z
2026-03-31,consultation,CSA invites stakeholders to participate in tokenization initiative,https://www.securities-administrators.ca/news/csa-invites-stakeholders-to-participate-in-tokenization-initiative/,2026-04-27T22:56:57Z
2026-03-19,rulemaking,Canadian securities regulators announce adoption of semi-annual financial reporting pilot,https://www.securities-administrators.ca/news/canadian-securities-regulators-announce-adoption-of-semi-annual-financial-reporting-pilot/,2026-04-27T22:56:57Z
2026-03-03,investor_alert,"Canadian securities regulators’ release updated numbers on disarming more than 7,500 fraudulent investment websites",https://www.securities-administrators.ca/news/canadian-securities-regulators-release-updated-numbers-on-disarming-more-than-7500-fraudulent-investment-websites/,2026-04-27T22:56:57Z
2026-02-19,rulemaking,Canadian securities regulators announce amendments to strengthen assurance report requirements for designated benchmarks,https://www.securities-administrators.ca/news/canadian-securities-regulators-announce-amendments-to-strengthen-assurance-report-requirements-for-designated-benchmarks/,2026-04-27T22:56:57Z
