ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
2330.TW,TSMC,TWSE,TWN,The AI Chip Rally Pushed SMH Higher. What Investors Should Know Before Buying.,semi_ai,Motley Fool,2026-04-26T23:58:00Z,https://www.fool.com/investing/2026/04/26/the-ai-chip-rally-pushed-smh-higher-what-investors/,2026-04-27T06:35:24+00:00
2317.TW,Hon Hai (Foxconn),TWSE,TWN,"John Ternus, Apple’s new CEO, inherits a rebounding China business—and some messy headaches",other,Fortune,2026-04-26T21:00:00Z,https://finance.yahoo.com/sectors/technology/articles/john-ternus-apple-ceo-inherits-210000906.html,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,Taiwan defiant as diplomatic mission overcomes airspace blockade,semi_ai,Investing.com,2026-04-26T05:14:21Z,https://www.yahoo.com/news/articles/taiwan-defiant-diplomatic-mission-overcomes-051421271.html,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,This Ultimate AI Stock Has Gained 26% This Year and Still Isn't Done,semi_ai,Motley Fool,2026-04-25T19:27:00Z,https://www.fool.com/investing/2026/04/25/this-ultimate-ai-stock-has-gained-26-this-year-and/,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,Chicago Capital Slashes Its Alkami Technology Position by 1.6 Million Shares,other,Motley Fool,2026-04-25T14:59:20Z,https://www.fool.com/coverage/filings/2026/04/25/chicago-capital-slashes-its-alkami-technology-position-by-1-6-million-shares/,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,Is Micron Technology Stock About to Join the Exclusive $1 Trillion Club?,other,Motley Fool,2026-04-25T13:03:00Z,https://www.fool.com/investing/2026/04/25/micron-technology-stock-about-join-1-trillion-club/,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,"Taiwan Semiconductor, Walmart Lead Five Stocks Near Buy Points Without This Big Risk",semi_ai,Investor's Business Daily,2026-04-25T12:00:00Z,https://www.investors.com/news/taiwan-semiconductor-walmart-stocks-near-buy-points/?src=A00220&yptr=yahoo,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,A Look At Cadence Design Systems (CDNS) Valuation After New TSMC Partnership And Agentic AI Reveal,semi_ai,Simply Wall St.,2026-04-25T10:03:07Z,https://finance.yahoo.com/markets/stocks/articles/look-cadence-design-systems-cdns-100307754.html,2026-04-27T06:35:24+00:00
2330.TW,TSMC,TWSE,TWN,Taiwan Semiconductor (TSM) and ASML’s post-earnings Price Movements May be a Sign of What’s to Come from Chip Firms,results,Insider Monkey,2026-04-25T05:57:45Z,https://finance.yahoo.com/markets/stocks/articles/taiwan-semiconductor-tsm-asml-post-055745493.html,2026-04-27T06:35:24+00:00
2454.TW,MediaTek,TWSE,TWN,"AI Chip Surge Elevates Taiwan, Korea in Global Equity Rankings",semi_ai,Bloomberg,2026-04-25T00:00:00Z,https://finance.yahoo.com/news/ai-chip-surge-elevates-taiwan-000000285.html,2026-04-27T06:35:24+00:00
2308.TW,Delta Electronics,TWSE,TWN,"AI Chip Surge Elevates Taiwan, Korea in Global Equity Rankings",semi_ai,Bloomberg,2026-04-25T00:00:00Z,https://finance.yahoo.com/news/ai-chip-surge-elevates-taiwan-000000285.html,2026-04-27T06:35:24+00:00
3711.TW,ASE Technology,TWSE,TWN,Asian Equities Traded in the US as American Depositary Receipts Rise in Friday Trading,other,MT Newswires,2026-04-24T14:48:00Z,https://finance.yahoo.com/markets/world-indices/articles/asian-equities-traded-us-american-144800689.html,2026-04-27T06:35:24+00:00
2891.TW,CTBC Financial,TWSE,TWN,Taiwan to launch finance-sector AI model project,semi_ai,Retail Banker International,2026-04-24T11:32:03Z,https://www.retailbankerinternational.com/news/taiwan-finance-sector-ai-model/,2026-04-27T06:35:24+00:00
2317.TW,Hon Hai (Foxconn),TWSE,TWN,AI brings Foxconn a chance to cut its reliance on Apple,semi_ai,Financial Times,2026-04-23T21:00:07Z,https://finance.yahoo.com/sectors/technology/articles/ai-brings-foxconn-chance-cut-210007424.html,2026-04-27T06:35:24+00:00
2317.TW,Hon Hai (Foxconn),TWSE,TWN,"POET Stock Soars 30% as Nvidia, Marvell Links Fuel AI Rally",semi_ai,GuruFocus.com,2026-04-22T16:59:33Z,https://finance.yahoo.com/markets/stocks/articles/poet-stock-soars-30-nvidia-165933204.html,2026-04-27T06:35:24+00:00
