ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,AngloGold Ashanti (AU) Is Down 9.0% After Major Debt Tender Amid Ghana Localization Shift – Has The Bull Case Changed?,commodity,Simply Wall St.,2026-04-25T12:05:29Z,https://finance.yahoo.com/markets/stocks/articles/anglogold-ashanti-au-down-9-120529321.html,2026-04-27T06:33:09+00:00
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,AngloGold Ashanti (AU) Exceeds Market Returns: Some Facts to Consider,commodity,Zacks,2026-04-24T22:00:03Z,https://finance.yahoo.com/markets/stocks/articles/anglogold-ashanti-au-exceeds-market-220003342.html,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,"Teck Resources, IBD Stock Of The Day, Flirts With Buy Point At Highs",other,Investor's Business Daily,2026-04-24T20:06:43Z,https://www.investors.com/research/ibd-stock-of-the-day/copper-stock-buy-point-teck-resources-flirts-with-breakout/?src=A00220&yptr=yahoo,2026-04-27T06:33:09+00:00
HMY,Harmony Gold ADR,AFRICA-MULTI,ZAF,Morgan Stanley Upgrades Harmony Gold (HMY) to Overweight,commodity,Insider Monkey,2026-04-24T18:31:13Z,https://finance.yahoo.com/markets/stocks/articles/morgan-stanley-upgrades-harmony-gold-183113250.html,2026-04-27T06:33:09+00:00
GFI,Gold Fields ADR,AFRICA-MULTI,ZAF,Morgan Stanley Upgrades Gold Fields (GFI) to Equal Weight,commodity,Insider Monkey,2026-04-24T18:30:59Z,https://finance.yahoo.com/markets/commodities/articles/morgan-stanley-upgrades-gold-fields-183059425.html,2026-04-27T06:33:09+00:00
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,"CGAU is Set to Report Q1 Earnings: Buy, Sell or Hold the Stock?",results,Zacks,2026-04-24T12:32:00Z,https://finance.yahoo.com/markets/stocks/articles/cgau-set-report-q1-earnings-123200068.html,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,Teck Resources Q1 Earnings Call Highlights,results,MarketBeat,2026-04-24T10:08:15Z,https://www.marketbeat.com/instant-alerts/teck-resources-q1-earnings-call-highlights-2026-04-24/?utm_source=yahoofinance&utm_medium=yahoofinance,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,Teck Resources Limited Q1 2026 Earnings Call Summary,results,Moby,2026-04-23T20:49:35Z,https://app.moby.co/home/research/tools/earningsCalendar/earnings-teck-resources-limited-q1-2026-earnings-call-summary?utm_source=yahoo_finance&utm_medium=rss,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,FCX Stock Dives On Copper Output Cut. These Stocks Are Rallying.,commodity,Investor's Business Daily,2026-04-23T14:23:06Z,https://www.investors.com/news/fcx-stock-dives-freeport-mcmoran-cuts-copper-output/?src=A00220&yptr=yahoo,2026-04-27T06:33:09+00:00
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,Gold Caught Between Rock and Hard Place Despite Safe-Haven Status,commodity,24/7 Wall St.,2026-04-23T14:02:02Z,https://247wallst.com/investing/2026/04/23/gold-caught-between-rock-and-hard-place-despite-safe-haven-status/,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,Sector Update: Energy Stocks Edge Higher Premarket Thursday,other,MT Newswires,2026-04-23T13:25:45Z,https://finance.yahoo.com/sectors/energy/articles/sector-energy-stocks-edge-higher-132545636.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,Sector Update: Energy Stocks Edge Higher Premarket Thursday,other,MT Newswires,2026-04-23T13:25:45Z,https://finance.yahoo.com/sectors/energy/articles/sector-energy-stocks-edge-higher-132545636.html,2026-04-27T06:33:09+00:00
SBSW,Sibanye-Stillwater ADR,AFRICA-MULTI,ZAF,Best Income Stocks to Buy for April 23rd,other,Zacks,2026-04-23T09:01:00Z,https://finance.yahoo.com/markets/stocks/articles/best-income-stocks-buy-april-090100141.html,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,"FTSE 100 Live: Stocks wallow as oil tops $100, UK consumer confidence falls",other,Proactive,2026-04-23T06:12:00Z,https://www.proactiveinvestors.com/companies/news/1091043/ftse-100-live-stocks-set-to-drop-as-oil-crosses-100-a-barrel-uk-deficit-in-line-1091043.html,2026-04-27T06:33:09+00:00
FSR.JO,FirstRand,AFRICA-MULTI,ZAF,City watchdog faces legal action over £9.1bn car finance compensation scheme,other,PA Media: Money,2026-04-22T12:05:29Z,https://uk.finance.yahoo.com/news/city-watchdog-faces-legal-action-102910568.html,2026-04-27T06:33:09+00:00
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,Here's Why AngloGold Ashanti (AU) Fell More Than Broader Market,commodity,Zacks,2026-04-21T22:15:06Z,https://finance.yahoo.com/markets/stocks/articles/heres-why-anglogold-ashanti-au-221506747.html,2026-04-27T06:33:09+00:00
AU,AngloGold Ashanti ADR,AFRICA-MULTI,ZAF,"Insiders At AngloGold Ashanti Sold US$13m In Stock, Alluding To Potential Weakness",commodity,Simply Wall St.,2026-04-21T11:00:11Z,https://finance.yahoo.com/markets/stocks/articles/insiders-anglogold-ashanti-sold-us-110011568.html,2026-04-27T06:33:09+00:00
AGL.JO,Anglo American JO,AFRICA-MULTI,ZAF,How The Teck Merger And Mixed Analyst Views Are Shaping The Anglo American (LSE:AAL) Story,merger,Simply Wall St.,2026-04-20T16:05:42Z,https://finance.yahoo.com/markets/stocks/articles/teck-merger-mixed-analyst-views-160542684.html,2026-04-27T06:33:09+00:00
NPN.JO,Naspers,AFRICA-MULTI,ZAF,Uber Buys $318 Million Delivery Hero Stake from Prosus as Part of Just Eat Remedy,merger,The Wall Street Journal,2026-04-17T06:58:00Z,https://www.wsj.com/business/deals/uber-buys-part-of-prosus-stake-in-delivery-hero-as-part-of-just-eat-remedy-b338504c?siteid=yhoof2&yptr=yahoo,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,4 Energy Stocks to Buy as Geopolitics Reshapes Global Markets,other,Zacks,2026-04-16T12:52:00Z,https://finance.yahoo.com/sectors/energy/articles/4-energy-stocks-buy-geopolitics-125200074.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,4 Energy Stocks to Buy as Geopolitics Reshapes Global Markets,other,Zacks,2026-04-16T12:52:00Z,https://finance.yahoo.com/sectors/energy/articles/4-energy-stocks-buy-geopolitics-125200074.html,2026-04-27T06:33:09+00:00
HMY,Harmony Gold ADR,AFRICA-MULTI,ZAF,"If EPS Growth Is Important To You, Harmony Gold Mining (JSE:HAR) Presents An Opportunity",commodity,Simply Wall St.,2026-04-16T04:57:26Z,https://finance.yahoo.com/markets/stocks/articles/eps-growth-important-harmony-gold-045726324.html,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,Are You Looking for a Top Momentum Pick? Why Sasol (SSL) is a Great Choice,other,Zacks,2026-04-13T16:00:02Z,https://finance.yahoo.com/markets/stocks/articles/looking-top-momentum-pick-why-160002642.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,Are You Looking for a Top Momentum Pick? Why Sasol (SSL) is a Great Choice,other,Zacks,2026-04-13T16:00:02Z,https://finance.yahoo.com/markets/stocks/articles/looking-top-momentum-pick-why-160002642.html,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,Sasol (SSL) Upgraded to Strong Buy: Here's What You Should Know,other,Zacks,2026-04-09T16:00:03Z,https://finance.yahoo.com/markets/stocks/articles/sasol-ssl-upgraded-strong-buy-160003801.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,Sasol (SSL) Upgraded to Strong Buy: Here's What You Should Know,other,Zacks,2026-04-09T16:00:03Z,https://finance.yahoo.com/markets/stocks/articles/sasol-ssl-upgraded-strong-buy-160003801.html,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,Sasol Ltd. (SSL) Falls 8.4% as Energy Stocks Lose Momentum,other,Insider Monkey,2026-04-09T03:59:45Z,https://finance.yahoo.com/markets/stocks/articles/sasol-ltd-ssl-falls-8-035945857.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,Sasol Ltd. (SSL) Falls 8.4% as Energy Stocks Lose Momentum,other,Insider Monkey,2026-04-09T03:59:45Z,https://finance.yahoo.com/markets/stocks/articles/sasol-ltd-ssl-falls-8-035945857.html,2026-04-27T06:33:09+00:00
SOL.JO,Sasol,AFRICA-MULTI,ZAF,PBF Energy (PBF) Loses 6.8% as Oil Prices Nosedive,other,Insider Monkey,2026-04-09T03:36:43Z,https://finance.yahoo.com/markets/stocks/articles/pbf-energy-pbf-loses-6-033643593.html,2026-04-27T06:33:09+00:00
SSL,Sasol ADR,AFRICA-MULTI,ZAF,PBF Energy (PBF) Loses 6.8% as Oil Prices Nosedive,other,Insider Monkey,2026-04-09T03:36:43Z,https://finance.yahoo.com/markets/stocks/articles/pbf-energy-pbf-loses-6-033643593.html,2026-04-27T06:33:09+00:00
FSR.JO,FirstRand,AFRICA-MULTI,ZAF,Bank to quit Britain in protest against ‘unfair’ £750m car finance bill,other,The Telegraph,2026-04-08T08:08:55Z,https://www.telegraph.co.uk/business/2026/04/08/bank-quits-britain-protest-against-unfair-750m-car-finance/,2026-04-27T06:33:09+00:00
