recall_id,recall_number,title,description,remedy,manufacturer,hazards,recall_date,url,captured_at
10736,26435,32 Degrees Recalls Heated Socks Due to Burn Hazard,"This recall involves heated socks sold in three sizes (medium, large, extra large), all in the color black. ""32° HEAT"" appears on the battery pack casing, battery pack packaging, user manual and the e",Refund,,"When worn during high-intensity activities that generate a combination of heat, excessive friction, moisture and pressur",2026-04-23,https://www.cpsc.gov/Recalls/2026/32-Degrees-Recalls-Heated-Socks-Due-to-Burn-Hazard,2026-04-27T23:05:46Z
10735,26434,Autobrush Recalls Sonic Pro Children's Toothbrush Boxes Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory St,This recall involves Autobrush's Sonic Pro Kids toothbrush boxes used as packaging for delivering children's toothbrushes. The electric toothbrushes consist of a u-shaped mouthpiece and a plastic base,Refund,,The recalled delivery boxes violate the mandatory standard for consumer products containing button cell and coin batteri,2026-04-23,https://www.cpsc.gov/Recalls/2026/Autobrush-Recalls-Sonic-Pro-Childrens-Toothbrush-Boxes-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violates-Mandatory-Standard-for-Consumer-Products-with-Coin-Batteries,2026-04-27T23:05:46Z
10734,26433,Children's Tower Stools Recalled Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards; Imported by AMZCMJ DGD,"This recall involves AMZCMJ DGD-branded children's tower stools. The wooden kitchen stools measure about 15 inches deep, 22 inches wide and 34 inches tall. They are foldable and convert into a table a",Refund,,The recalled tower stools can collapse or tip over while in use and a child's torso can fit through the openings on the ,2026-04-23,https://www.cpsc.gov/Recalls/2026/Childrens-Tower-Stools-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards-Imported-by-AMZCMJ-DGD,2026-04-27T23:05:46Z
10733,26432,Children's Tower Stools Recalled Due to Risk of Serious Injury and Death from Entrapment and Fall Hazards; Imported by TOETOL HOME,"This recall involves TOETOL HOME-branded children's tower stools, model DETD0001. The wooden kitchen tower step stools were sold in white, gray and dark wood colors and measure about 20 inches deep, 1",Refund,,The recalled tower stools can collapse or tip over while in use and a child's torso can fit through the openings on the ,2026-04-23,https://www.cpsc.gov/Recalls/2026/Childrens-Tower-Stools-Recalled-Due-to-Risk-of-Serious-Injury-and-Death-from-Entrapment-and-Fall-Hazards-Imported-by-TOETOL-HOME,2026-04-27T23:05:46Z
10739,26438,Cpzzkq Baby Loungers Recalled Due to Risk of Serious Injury or Death from Suffocation Hazard; Violates Mandatory Standard for Infant Support,"This recall involves Cpzzkq baby loungers. The baby loungers come in white, grayish blue, pink, zuma blue and brown. The recalled baby loungers are rectangular in shape and are made of a foam pad with",Refund,,The recalled baby loungers violate the mandatory safety standard for infant support cushions because the padding can obs,2026-04-23,https://www.cpsc.gov/Recalls/2026/Cpzzkq-Baby-Loungers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-Hazard-Violates-Mandatory-Standard-for-Infant-Support-Cushions-Sold-on-Amazon-by-CetoPMax,2026-04-27T23:05:46Z
10738,26437,HappyGira Recalls Sweetie Baby and Style Life Eleven Baby Loungers Due to Risk of Serious Injury or Death from Suffocation and Fall Hazards;,This recall involves Sweetie Baby-branded and Style Life Eleven-branded baby loungers. The recalled baby loungers are made of a foam sleeping pad and padded bumpers with a cloth cover and were sold in,Refund,,The baby loungers violate the mandatory standard for infant sleep products because the sides are shorter than the minimu,2026-04-23,https://www.cpsc.gov/Recalls/2026/HappyGira-Recalls-Sweetie-Baby-and-Style-Life-Eleven-Baby-Loungers-Due-to-Risk-of-Serious-Injury-or-Death-from-Suffocation-and-Fall-Hazards-Violates-Mandatory-Standard-for-Infant-Sleep-Products,2026-04-27T23:05:46Z
10740,26440,KMUYSL Big Red Barn Farm Animal Playsets Recalled Due to Risk of Serious Injury or Death from Choking; Violates Small Parts Ban; Sold on Ama,"This recall involves KMUYSL Big Red Barn Farm Animal Playsets. The children's toy sets consist of one red barn, one farmer figure and nine animal figures, including a cow, donkey, duck, sheep, chicken",Refund,,The recalled children's toys violate the small parts ban because the toy is intended for children under three years of a,2026-04-23,https://www.cpsc.gov/Recalls/2026/KMUYSL-Big-Red-Barn-Farm-Animal-Playsets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violates-Small-Parts-Ban-Sold-on-Amazon-by-MISSJUNE,2026-04-27T23:05:46Z
10737,26436,Magnetic Stick Figure Sets Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold ,"This recall involves 10 flexible stick figures in purple, black, red, orange, pink, yellow, blue, white, dark green and light green. Each stick figure has four small magnets, one in each hand and foot",Refund,,The magnetic stick figures violate the mandatory standard for toys because they contain loose magnets posing an ingestio,2026-04-23,https://www.cpsc.gov/Recalls/2026/Magnetic-Stick-Figure-Sets-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Magnet-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Walmart-by-BlissfulDestiny,2026-04-27T23:05:46Z
10730,26429,mGanna Sodium Hydroxide Pellet Bags Recalled Due to Risk of Serious Injury or Death from Chemical Burns and Irritation to the Skin and Eyes;,"This recall involves mGanna Sodium Hydroxide pellet bags. The product is packaged in a vacuum-sealed clear plastic bag inside a white, zip-top pouch with a tear-away feature. The front of the package ",Refund,,"The recalled products contain sodium hydroxide (lye), which must be in child-resistant packaging as required by the Pois",2026-04-23,https://www.cpsc.gov/Recalls/2026/mGanna-Sodium-Hydroxide-Pellet-Bags-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Chemical-Burns-and-Irritation-to-the-Skin-and-Eyes-Violate-Mandatory-Standard-for-Child-Resistant-Packaging-Sold-on-Amazon-by-Archie-Xpress,2026-04-27T23:05:46Z
10732,26431,Tzumi Electronics Recalls FitRx SmartBell Quick-Select Adjustable Dumbbells Due to Serious Injury from Impact Hazard,"This recall involves FitRx SmartBell Quick-Select Adjustable Dumbbells 5-52.5lbs, model 8361, with serial numbers KK23288361 through KK23388361 and KK207608361 through KK21347836 only. The dumbbells w",Replace,,"Weight plates can dislodge from the handle during use, posing a risk of serious injury due to impact hazard.",2026-04-23,https://www.cpsc.gov/Recalls/2026/Tzumi-Electronics-Recalls-FitRx-SmartBell-Quick-Select-Adjustable-Dumbbells-Due-to-Serious-Injury-from-Impact-Hazard,2026-04-27T23:05:46Z
