filed_utc,source,kind,title,link,summary
2026-04-24T13:00:00Z,publications,working_paper,Substitution between RTGS and instant payment schemes: the impact of the 2022 Faster Payments transaction limit increase on CHAPS,https://www.bankofengland.co.uk/working-paper/2026/substitution-between-rtgs-and-instant-payment-schemes,"Staff working papers set out research in progress by our staff, with the aim of encouraging comments and debate."
2026-04-24T08:30:00Z,publications,press,Agents' summary of business conditions - April 2026,https://www.bankofengland.co.uk/agents-summary/2026/april-2026,We regularly publish a summary of business conditions based on our Agency network's discussions with many businesses from across the UK every reporting period.
2026-04-24T08:30:00Z,publications,press,Monthly Decision Maker Panel data - April 2026,https://www.bankofengland.co.uk/decision-maker-panel/2026/april-2026,"The Decision Maker Panel (DMP) is a survey of Chief Financial Officers from small, medium and large UK businesses. We use it to monitor developments in the economy and to track businesses’ views."
2026-04-23T14:00:00Z,publications,weekly_report,Bank of England Weekly Report 22 April 2026,https://www.bankofengland.co.uk/weekly-report/2026/22-april-2026,Our weekly report contains the latest data on our assets and liabilities. We publish it every Thursday.
2026-04-22T09:00:00Z,news,pra_supervision,FCA and PRA confirm changes to streamline senior manager accountability and boost growth,https://www.bankofengland.co.uk/news/2026/april/fca-and-pra-confirm-changes-to-streamline-senior-manager-accountability-and-boost-growth,"The PRA and FCA have set out reforms to the Senior Managers and Certification Regime, designed to reduce costs and offer greater flexibility."
2026-04-20T09:00:00Z,news,fpc,FPC review of UK bank capital – summary of stakeholder evidence gathering event,https://www.bankofengland.co.uk/news/2026/april/fpc-preview-of-uk-bank-capital-summary-of-stakeholder-evidence-gathering-event,"The Financial Policy Committee is conducting a review of UK bank capital, which has included gathering evidence from a range of stakeholders. This event was part of that evidence gathering process."
2026-04-17T15:20:02Z,news,fx_operations,Minutes of the SONIA Stakeholder Advisory Group - 24 March 2026,https://www.bankofengland.co.uk/minutes/2026/march/sonia-stakeholder-advisory-group-24-march-2026,The SONIA Stakeholder Advisory Group supports the Bank’s administration of SONIA by providing advice and technical input to the Bank and the SONIA Oversight Committee
2026-04-17T12:15:00Z,news,press,Banknote imagery advisory group minutes - October 2025,https://www.bankofengland.co.uk/minutes/2025/october/banknote-advisory-group-14october,Meeting held 14 October 2025
2026-04-17T12:15:00Z,news,press,Banknotes imagery advisory group minutes - August 2025,https://www.bankofengland.co.uk/minutes/2025/august/banknote-advisory-minutes,Meeting held 5 August 2025
2026-04-17T11:00:00Z,publications,consultation,The Bank of England's fees regime for financial market infrastructure supervision 2026/27,https://www.bankofengland.co.uk/paper/2026/cp/the-boes-fees-regime-for-financial-market-infrastructure-supervision-2026-27,Consultation paper
2026-04-16T14:00:00Z,publications,weekly_report,Bank of England Weekly Report 15 April 2026,https://www.bankofengland.co.uk/weekly-report/2026/15-april-2026,Our weekly report contains the latest data on our assets and liabilities. We publish it every Thursday.
2026-04-16T09:24:13Z,news,press,Artificial Intelligence Consortium minutes – February 2026,https://www.bankofengland.co.uk/minutes/2026/february/ai-consortium-minutes-9-february-2026,"The Artificial Intelligence Consortium (AIC) aims to provide a platform for public-private engagement to further dialogue on the capabilities, development, deployment, use, and potential risks of artificial intelligence (AI) in UK financial services."
2026-04-16T09:00:00Z,publications,press,Report on the exercise of relevant sub-delegated powers for the financial year ending 28 February 2026,https://www.bankofengland.co.uk/financial-stability/resolution/report-on-the-exercise-of-relevant-sub-delegated-powers-for-fin-year-ending-28-feb-2026,Presented to Parliament pursuant to paragraph 32(2)(a) of Schedule 7 to the European Union (Withdrawal) Act 2018.
2026-04-16T09:00:00Z,publications,resolution,External minimum requirements for own funds and eligible liabilities (MRELs) – 2026,https://www.bankofengland.co.uk/financial-stability/resolution/mrels-2026,Public disclosure for firms with a resolution entity incorporated in the UK for which a bail-in or transfer preferred resolution strategy has been set.
2026-04-13T14:15:00Z,news,fx_operations,FXJSC Combined Operations and Legal Sub-Committee Meeting,https://www.bankofengland.co.uk/minutes/2025/november/minutes,"The Bank of England chairs the London Foreign Exchange Joint Standing Committee (FXJSC) Operations and Legal Sub-Committees. The FXJSC is made up of market participants, infrastructure providers and the UK financial regulators."
2026-04-13T14:15:00Z,news,fx_operations,Minutes of the London FXJSC Main Committee Meeting – 27 November 2025,https://www.bankofengland.co.uk/minutes/2025/november/fxjsc-main-committee-meeting-24-november-2025,"The Bank of England chairs the London Foreign Exchange Joint Standing Committee (FXJSC), which is a forum for discussion of the wholesale foreign exchange market. The FXJSC is made up of market participants, infrastructure providers and the UK financial regulators."
2026-04-13T10:00:00Z,news,resolution,Bank of England enhances resolution readiness with updated operational guides,https://www.bankofengland.co.uk/news/2026/april/boe-enhances-resolution-readiness-with-updated-operational-guides,The Bank of England has today published new and updated guidance on how the Bank might implement the UK’s resolution regime in the event of a bank failure.
2026-04-13T10:00:00Z,publications,resolution,Operational guide to transfer resolution,https://www.bankofengland.co.uk/paper/2026/operational-guide-to-transfer-resolution,"This publication describes how the Bank could execute a transfer resolution, and the operational processes and arrangements that may be involved in this."
2026-04-13T10:00:00Z,publications,resolution,Operational guide to bail-in resolution,https://www.bankofengland.co.uk/paper/2026/operational-guide-to-bail-in-resolution,"This publication describes how the Bank could execute a bail-in resolution, and the operational processes and arrangements that may be involved in this."
2026-04-10T13:00:00Z,publications,working_paper,Real domestic effects of banks’ cross-border lending,https://www.bankofengland.co.uk/working-paper/2026/real-domestic-effects-of-banks-cross-border-lending,"Staff working papers set out research in progress by our staff, with the aim of encouraging comments and debate."
2026-04-09T14:00:00Z,publications,weekly_report,Bank of England Weekly Report 8 April 2026,https://www.bankofengland.co.uk/weekly-report/2026/8-april-2026,Our weekly report contains the latest data on our assets and liabilities. We publish it every Thursday.
2026-04-09T08:30:00Z,publications,press,Bank Liabilities Survey - 2026 Q1,https://www.bankofengland.co.uk/bank-liabilities-survey/2026/2026-q1,This quarterly survey of banks and building societies is aimed at improving our understanding of the role of lenders’ liabilities and capital in driving credit and monetary conditions.
2026-04-09T08:30:00Z,publications,press,Credit Conditions Survey - 2026 Q1,https://www.bankofengland.co.uk/credit-conditions-survey/2026/2026-q1,This quarterly survey of banks and building societies is aimed at improving our understanding of trends and developments in credit conditions.
2026-04-02T14:00:00Z,publications,weekly_report,Bank of England Weekly Report 1 April 2026,https://www.bankofengland.co.uk/weekly-report/2026/1-april-2026,Our weekly report contains the latest data on our assets and liabilities. We publish it every Thursday.
2026-04-02T13:05:00Z,news,payments,Minutes: CBDC Academic Advisory Group - January 2026,https://www.bankofengland.co.uk/minutes/2026/january/cbdc-academic-advisory-group-january-2026,Meeting of the CBDC Academic Advisory Group
2026-04-02T13:00:00Z,publications,working_paper,"Out of work, out of the labour force? Attachment, search effort and participation flows",https://www.bankofengland.co.uk/working-paper/2026/out-of-work-out-of-the-labour-force,"Staff working papers set out research in progress by our staff, with the aim of encouraging comments and debate."
2026-04-02T11:39:00Z,news,fx_operations,Minutes of the Money Market Committee meeting – March 2026,https://www.bankofengland.co.uk/minutes/2026/march/money-markets-committee-minutes-march-2026,The Money Markets Committee is a forum for market participants and authorities to discuss the UK unsecured deposits and funding market and securities lending and repo markets.
2026-04-02T08:30:00Z,news,mpc,Changes to publication dates of the Decision Maker Panel data and Agents’ summary of business conditions,https://www.bankofengland.co.uk/news/2026/april/changes-to-publication-dates-of-the-decision-maker-panel-data-and-agents-summary,We are changing the publication dates of the Decision Maker Panel and Agents’ summary of business conditions so that they no longer fall on the same day as publication of the Monetary Policy Report
2026-04-02T08:30:00Z,publications,press,Monthly Decision Maker Panel data - March 2026,https://www.bankofengland.co.uk/decision-maker-panel/2026/march-2026,"The Decision Maker Panel (DMP) is a survey of Chief Financial Officers from small, medium and large UK businesses. We use it to monitor developments in the economy and to track businesses’ views."
2026-04-01T09:30:00Z,news,fpc,Financial Policy Committee Record – April 2026,https://www.bankofengland.co.uk/financial-policy-committee-record/2026/april-2026,Our Financial Policy Committee (FPC) meets to identify risks to financial stability and agree policy actions aimed at safeguarding the resilience of the UK financial system.
2026-04-01T09:30:00Z,news,speech,"The Bank and the PRA’s response to HMT, DSIT and DBT on AI in financial services",https://www.bankofengland.co.uk/letter/2026/letter-from-sarah-breeden-sam-woods-to-chancellor,Letter from Sarah Breeden and Sam Woods to the Chancellor and Secretaries of State
2026-04-01T09:30:00Z,publications,financial_stability,Systemic Risk Survey Results - 2026 H1,https://www.bankofengland.co.uk/systemic-risk-survey/2026/2026-h1,"The Systemic Risk Survey is conducted on a biannual basis, to quantify and track market participants’ views of risks to, and their confidence in, the stability of the UK financial system."
2026-04-01T09:30:00Z,publications,fx_operations,Enhancing the resilience of the gilt repo market – discussion paper feedback statement,https://www.bankofengland.co.uk/paper/2026/discussion-paper/enhancing-the-resilience-of-the-gilt-repo-market-discussion-paper-feedback-statement,This feedback statement provides a summary of the responses to the September 2025 discussion paper ‘Enhancing the resilience of the gilt repo market’ and outlines how the Bank intends to progress this work.
