filed_utc,kind,title,link,summary
2026-04-27T20:44:45Z,leadership_cio,Alabama names state’s first chief AI officer,https://statescoop.com/alabama-chief-ai-officer-aaron-wright/,"Alabama has promoted Aaron Wright, the state's director of application development, to serve as its first chief AI officer."
2026-04-27T12:00:00Z,state_cyber_slcgp,State cyber officials are losing confidence as challenges mount,https://statescoop.com/state-cyber-officials-losing-confidence-challenges-mount/,"Between aging infrastructure, AI-powered attacks and flagging budgets, state cybersecurity officials have reported they are becoming less confident in their ability to protect government's data stores."
2026-04-24T21:13:41Z,sledtech,"More time, stronger compliance: Accessibility leaders say their work continues after DOJ rule extension",https://statescoop.com/doj-accessibility-deadline-extension-compliance/,"One city leader said the DOJ's extension of its accessibility rules gave her team ""the opportunity to deepen that work and not rush it."""
2026-04-24T00:07:00Z,leadership_cio,Oregon’s ‘digital transformation’ director steps down after six months,https://statescoop.com/oregons-digital-transformation-director-steps-down-after-six-months/,"Alex Pettit, who rejoined the state last November, has advertised on LinkedIn that he's looking for a new tech job."
2026-04-23T20:15:35Z,broadband_bead,"School, library groups urge FCC not to create proposed E-Rate bidding portal",https://statescoop.com/schools-libraries-reject-fcc-erate-portal-proposal/,"A cohort of advocacy groups argued that an online E-Rate portal would be ""overly burdensome"" for under-resourced schools, libraries and ISPs."
2026-04-23T18:40:13Z,state_data_cdo,"Each state does data differently, but that might be a good thing, researchers say",https://statescoop.com/beeck-nascio-state-chief-data-officer-report-2026/,A new report from the Beeck Center for Social Impact and Innovation and NASCIO identifies a wide range of strategies in developing data practices inside state government.
2026-04-23T17:25:12Z,sledtech,Pennsylvania police roll out mobile radio tower for 2026 NFL Draft,https://statescoop.com/pennsylvania-police-mobile-radio-tower-2026-nfl-draft/,"Police wheeled out the LMR-COW, a 100-foot tower mounted on a trailer, to extend radio coverage during a three-day event expected to attract hundreds of thousands of sports fans."
2026-04-22T22:10:47Z,state_privacy_law,"The new federal consumer privacy bill isn’t very consumer-friendly, critics say",https://statescoop.com/secure-data-act-privacy-bill-not-consumer-friendly/,"Numerous privacy analysts who've read the SECURE Data Act said that in addition to preempting years of state policy work, it would omit crucial protections for consumers."
2026-04-22T19:30:00Z,state_data_cdo,Bridging the AI scalability gap: From experimentation to enterprise impact,https://statescoop.com/bridging-the-ai-scalability-gap-from-experimentation-to-enterprise-impact/,"To unlock meaningful public value from AI, agency leaders must move beyond fragmented pilots and commit to a cohesive, enterprise-wide strategy that aligns technical capability with active stakeholder engagement and organizational readiness."
2026-04-22T17:23:31Z,sledtech,"FirstNet reauthorization bill would bring stability and risk, says former DHS official",https://statescoop.com/firstnet-reauthorization-bill-stability-new-risks-dhs/,"A former DHS official said the FirstNet reauthorization bill approved by the House would bring stability to the public safety network, but warned that continuing to rely on a single vendor is a risk."
