filed_utc,kind,title,link,summary
2026-04-23T12:00:00Z,bankruptcy,Bankruptcies Increase 11.9 Percent,http://www.uscourts.gov/data-news/judiciary-news/2026/04/23/bankruptcies-increase-119-percent,"Bankruptcy filings increased 11.9 percent during the 12-month period ending March 31, 2026."
2026-03-10T12:00:00Z,tech_modernization,Judges Outline Accelerated Modernization of Case Management System,http://www.uscourts.gov/data-news/judiciary-news/2026/03/10/judges-outline-accelerated-modernization-case-management-system,"A new more secure case management system for the Judiciary is on the horizon under an accelerated schedule, two federal judges told the Judicial Conference of the United States today."
2026-02-24T12:00:00Z,real_property,"Judiciary Says Courthouses Are in Crisis, Seeks Real Property Authority",http://www.uscourts.gov/data-news/judiciary-news/2026/02/24/judiciary-says-courthouses-are-crisis-seeks-real-property-authority,"The condition of federal courthouses around the country is in a deepening state of crisis, compelling the Judiciary to ask Congress for authority to directly manage properties that are essential to carrying out its constitutional mission."
2026-02-04T12:00:00Z,bankruptcy,Bankruptcy Filings Rise 11 Percent,http://www.uscourts.gov/data-news/judiciary-news/2026/02/04/bankruptcy-filings-rise-11-percent,"Total bankruptcy filings rose 11 percent, with increases in both business and non-business bankruptcies, in the twelve-month period ending Dec. 31, 2025."
2026-01-30T12:00:00Z,funding,Judiciary To Remain Open Until Feb. 5,http://www.uscourts.gov/data-news/judiciary-news/2026/01/30/judiciary-remain-open-until-feb-5,"In the event of a lapse in appropriations at midnight on Jan. 30, the Judiciary will remain open and continue paid operations through Wednesday, Feb. 4, by using court fee balances and other funds not dependent on a new appropriation."
2025-12-31T12:00:00Z,policy,Chief Justice Roberts Issues 2025 Year-End Report,http://www.uscourts.gov/data-news/judiciary-news/2025/12/31/chief-justice-roberts-issues-2025-year-end-report,"Chief Justice John G. Roberts, Jr., has issued his 2025 Year-End Report on the Federal Judiciary."
2025-12-18T12:00:00Z,tech_modernization,Judiciary Learning Center Bridges Gap Between Science and Law,http://www.uscourts.gov/data-news/judiciary-news/2025/12/18/judiciary-learning-center-bridges-gap-between-science-and-law,"The new Federal Circuit Center for Innovation and Law offers students an immersive learning experience that connects science, technology, civics, and law in the nation’s capital."
2025-12-08T12:00:00Z,bankruptcy,Funds Available for Additional Chapter 7 Trustee Payments for FY 2024 Cases,http://www.uscourts.gov/data-news/judiciary-news/2025/12/08/funds-available-additional-chapter-7-trustee-payments-fy-2024-cases,The Department of Justice has advised the Administrative Office of the U.S. Courts that it has funds available to transfer to the Judiciary to make additional payments to eligible Chapter 7 bankruptcy trustees for fiscal year 2024.
2025-12-02T12:00:00Z,personnel,Judge John D. Bates Receives 2025 Devitt Award,http://www.uscourts.gov/data-news/judiciary-news/2025/12/02/judge-john-d-bates-receives-2025-devitt-award,"Judge John D. Bates, of the U.S. District Court for the District of Columbia, is the 2025 recipient of the Edward J. Devitt Distinguished Service to Justice Award."
2025-11-24T12:00:00Z,bankruptcy,Bankruptcy Filings Increase 10.6 Percent,http://www.uscourts.gov/data-news/judiciary-news/2025/11/24/bankruptcy-filings-increase-10-6-percent,"Personal and business bankruptcy filings increased 10.6 percent in the twelve-month period ending Sept. 30, 2025, compared with the previous year."
