filed_utc,kind,title,link,summary
2026-04-27T21:28:48Z,cybernews,Supreme Court justices skeptically question both sides in geofence surveillance case,https://cyberscoop.com/supreme-court-geofence-warrants-chatrie/,"A ruling could come this summer in Chatrie v. United States, which could have bigger ramifications about the scope of government surveillance. The post Supreme Court justices skeptically question both sides in geofence surveillance case appeared first on CyberScoop ."
2026-04-27T16:51:55Z,congress_cyber,Senators seek answers about hackers obtaining sensitive student data from ostensibly anonymous tip line,https://cyberscoop.com/maps360-student-data-breach-senate-investigation/,Sens. Maggie Hassan and Jim Banks wrote to Navigate360 after a hacker claimed to compromise the school safety tool. The post Senators seek answers about hackers obtaining sensitive student data from ostensibly anonymous tip line appeared first on CyberScoop .
2026-04-27T14:18:07Z,enterprise_tooling,BlackFile actively extorting data-theft victims in retail and hospitality sector,https://cyberscoop.com/blackfile-data-theft-extortion-retail-unit-42-rh-isac/,"Some attackers, which researchers link to The Com, have swatted company executives to increase leverage and pressure victims to pay their ransom demands. The post BlackFile actively extorting data-theft victims in retail and hospitality sector appeared first on CyberScoop ."
2026-04-24T20:45:17Z,congress_cyber,Latest spy power reauthorization bill leaves critics unimpressed,https://cyberscoop.com/section-702-fisa-reauthorization-bill-leaves-critics-unimpressed/,"An April 30 deadline is looming to extend expiring Section 702 powers, and the newest legislation to re-up it is drawing fire from the left and right. The post Latest spy power reauthorization bill leaves critics unimpressed appeared first on CyberScoop ."
2026-04-23T22:05:51Z,ransomware_attack,Vercel attack fallout expands to more customers and third-party systems,https://cyberscoop.com/vercel-attack-fallout-expands/,"The company said it found more evidence of compromise across its customer base. Exposure, which has yet to be defined, poses significant downstream risk. The post Vercel attack fallout expands to more customers and third-party systems appeared first on CyberScoop ."
2026-04-23T20:25:05Z,nation_state_apt,"US, UK agencies warn hackers were hiding on Cisco firewalls long after patches were applied",https://cyberscoop.com/cisco-firestarter-malware-cisa-warning/,"Investigators found the malware, dubbed Firestarter, on a federal agency's network in a campaign dating back to at least September 2025. The post US, UK agencies warn hackers were hiding on Cisco firewalls long after patches were applied appeared first on CyberScoop ."
2026-04-23T19:50:24Z,critical_infra,"Dragos: Despite AI use, new malware targeting water plants is ‘hype’",https://cyberscoop.com/dragos-zionsiphon-ai-malware-targeting-water-sector-hype/,"ZionSiphon was designed to find and sabotage Israelis’ water supply. An OT expert said it appears to be ineffective and the work of amateurs using AI. The post Dragos: Despite AI use, new malware targeting water plants is ‘hype’ appeared first on CyberScoop ."
2026-04-23T19:19:32Z,cybernews,Surveillance campaigns use commercial surveillance tools to exploit long-known telecom vulnerabilities,https://cyberscoop.com/surveillance-campaigns-use-commercial-surveillance-tools-to-exploit-long-known-telecom-vulnerabilities/,Researchers said it’s the first-ever mapping of attack traffic to mobile operator signalling infrastructure. The post Surveillance campaigns use commercial surveillance tools to exploit long-known telecom vulnerabilities appeared first on CyberScoop .
2026-04-23T16:13:51Z,nation_state_apt,A dozen allied agencies say China is building covert hacker networks out of everyday routers,https://cyberscoop.com/china-nexus-covert-networks-advisory/,The joint warning describes a major tactical shift by Chinese-linked hackers and lays out what organizations should do about it. The post A dozen allied agencies say China is building covert hacker networks out of everyday routers appeared first on CyberScoop .
2026-04-22T20:29:41Z,cisa_guidance,CISA director pick Sean Plankey withdraws his nomination,https://cyberscoop.com/cisa-director-pick-sean-plankey-withdraws-his-nomination/,"Plankey had been waiting for more than a year, prompting the request to withdraw him as the one tapped to lead an agency now in further upheaval. The post CISA director pick Sean Plankey withdraws his nomination appeared first on CyberScoop ."
