filed_utc,kind,title,link,summary
2026-04-27T12:00:00Z,ftc_general,New FTC Data Show People Have Lost Billions to Social Media Scams,https://www.ftc.gov/news-events/news/press-releases/2026/04/new-ftc-data-show-people-have-lost-billions-social-media-scams,"Social media was the costliest fraud contact method in 2025 and reported losses increased eightfold since 2020 New data from the Federal Trade Commission show that, in 2025, nearly 30% of people who reported losing money to a scam said that it started on social media, with reported losses reaching a staggering $2.1 billion. View Press Release"
2026-04-27T12:00:00Z,deceptive_practices,FTC Takes Action Against High-Level MLM Participants who Deceived Workers About the Amount of Money They Can Earn,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-against-high-level-mlm-participants-who-deceived-workers-about-amount-money-they,"FTC order settling the agency’s allegations will prohibit Steven and Gina Merritt from making deceptive earnings claims The Federal Trade Commission is taking action against high-level participants in a multilevel marketing (MLM) company over allegations they used false or baseless earning claims to recruit workers, most of whom did not earn any money. View Press Release"
2026-04-23T12:00:00Z,ftc_general,FTC Charts Path to Restore Competition in Texas Anesthesia Markets in USAP Litigation,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-charts-path-restore-competition-texas-anesthesia-markets-usap-litigation,The Federal Trade Commission has reached an agreement in principle with U.S. Anesthesia Partners Inc. (USAP) to settle the litigation and restore competition for anesthesia services in Texas. View Press Release
2026-04-22T12:00:00Z,deceptive_practices,FTC Sues to Stop Deceptive Health Care Scheme,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-sues-stop-deceptive-health-care-scheme,"FTC alleges scheme has generated millions of dollars by deceiving consumers seeking comprehensive health plans or those who already have coverage At the Federal Trade Commission’s request, a U.S. View Press Release"
2026-04-20T12:00:00Z,consumer_scam,Court Orders Operator of Timeshare Exit Scheme to Pay $140 Million Related to FTC Allegations the Scheme Took Millions from Consumers,https://www.ftc.gov/news-events/news/press-releases/2026/04/court-orders-operator-timeshare-exit-scheme-pay-140-million-related-ftc-allegations-scheme-took,"Following an investigation by the Federal Trade Commission, a federal court has ordered one of the key operators of a timeshare exit operation to pay $140 million and has permanently banned him from marketing similar services in the future over allegations the scheme defrauded consumers—mostly older adults—out of more than $90 million. View Press Release"
2026-04-17T12:00:00Z,ftc_general,FTC and DOJ Extend Deadline for Public Comment on Guidance on Business Collaborations,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-doj-extend-deadline-public-comment-guidance-business-collaborations,The Federal Trade Commission and the Justice Department’s Antitrust Division (“Agencies”) hereby extend the period for receiving public comments on their inquiry for consideration of guidance on collaborations among competitors that was announced on February 23 View Press Release
2026-04-16T12:00:00Z,consumer_scam,FTC Stops Operation that Allegedly Targeted People Seeking Student Loan Debt Relief,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-stops-operation-allegedly-targeted-people-seeking-student-loan-debt-relief,Operators of alleged scheme pretended to be affiliated with the federal government and falsely promised students loan forgiveness in exchange for illegal upfront fees The Federal Trade Commission has obtained a temporary restraining order against an alleged student loan debt relief scheme and its operators over allegations they pretended to be affiliated with the U.S. View Press Release
2026-04-15T12:00:00Z,price_fixing,FTC Takes Action to Restore Competition in the Digital Advertising Ecosystem,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-restore-competition-digital-advertising-ecosystem,"Ad agency giants agree to stop unlawful collusion that imposed uniform standards on “brand safety” The Federal Trade Commission, along with a coalition of states, took decisive action today to stop collusion between the nation’s largest advertising agencies that distorted America’s modern public square. View Press Release"
2026-04-15T12:00:00Z,leadership_ftc,"FTC Testifies Before Senate Commerce, Science and Transportation Committee",https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-testifies-senate-commerce-science-transportation-committee,"Chairman Ferguson highlighted the agency’s priorities and recent achievements The Federal Trade Commission testified before the Senate Committee on Commerce, Science and Transportation today to highlight the agency’s accomplishments in the last year and a half and its ongoing work to protect consumers and promote competition on behalf of the American people. View Press Release"
2026-04-15T12:00:00Z,noncompete_rule,"FTC Takes Action Against Noncompete Agreements, Securing Protections for Workers",https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-against-noncompete-agreements-securing-protections-workers,"FTC orders one of the nation’s largest pest-control companies to stop enforcing noncompete agreements and sends warning letters to other industry employers The Federal Trade Commission today ordered Rollins, Inc.—one of the largest pest-control companies in the United States—to stop enforcing noncompete agreements against more than 18,000 employees nationwide. View Press Release"
