source,tier,ticker_explicit,published_utc,recency_min,news_score,sector_tags,event_tags,ticker_candidates,headline,link
globenewswire,1,1,2026-04-27T21:45:00+00:00,76.2,15.138,transport,company_catalyst,NOV,NOV Reports First Quarter 2026 Earnings,https://www.globenewswire.com/news-release/2026/04/27/3282118/0/en/NOV-Reports-First-Quarter-2026-Earnings.html
globenewswire,1,1,2026-04-27T21:21:00+00:00,100.2,14.633,biotech;transport,,TSHA,Taysha Gene Therapies to Present New Preclinical Data Supporting Construct Design of TSHA-102 for Rett Syndrome at the ASGCT 2026 Annual Meeting,https://www.globenewswire.com/news-release/2026/04/27/3282099/0/en/Taysha-Gene-Therapies-to-Present-New-Preclinical-Data-Supporting-Construct-Design-of-TSHA-102-for-Rett-Syndrome-at-the-ASGCT-2026-Annual-Meeting.html
globenewswire,1,1,2026-04-27T22:52:00+00:00,9.2,14.253,transport,,YEAR,"MINILUXE REPORTS FULL-YEAR FINANCIAL RESULTS FOR YEAR ENDED DECEMBER 28, 2025",https://www.globenewswire.com/news-release/2026/04/27/3282144/0/en/MINILUXE-REPORTS-FULL-YEAR-FINANCIAL-RESULTS-FOR-YEAR-ENDED-DECEMBER-28-2025.html
prnewswire,1,1,2026-04-27T22:33:00+00:00,28.2,13.761,semis_ai,,DRVN,DRVN 11-DAY DEADLINE ALERT: Driven Brands Holdings Inc. Securities Fraud Lawsuit - Investors With Losses May Seek to Lead the Class Action Alleging Pervasive Accounting Errors and Internal Control Failures - Hagens Berman,https://www.prnewswire.com/news-releases/drvn-11-day-deadline-alert-driven-brands-holdings-inc-securities-fraud-lawsuit---investors-with-losses-may-seek-to-lead-the-class-action-alleging-pervasive-accounting-errors-and-internal-control-failures--hagens-berman-302754842.html
prnewswire,1,1,2026-04-27T22:27:00+00:00,34.2,13.612,,company_catalyst,EOSE,"EOSE 8-DAY DEADLINE ALERT: Eos Energy (EOSE) Facing Securities Class Action Alleging Misstatements on Production Scale, Guidance - Hagens Berman",https://www.prnewswire.com/news-releases/eose-8-day-deadline-alert-eos-energy-eose-facing-securities-class-action-alleging-misstatements-on-production-scale-guidance--hagens-berman-302754833.html
marketwatch_top,2,0,2026-04-27T20:53:00+00:00,128.2,13.573,defense;semis_ai,conflict_risk,,"There’s a pizza price war going on, and Domino’s is feeling the pain",https://www.marketwatch.com/story/theres-a-pizza-price-war-going-on-and-dominos-is-feeling-the-pain-99487d92?mod=mw_rss_topstories
prnewswire,1,1,2026-04-27T22:25:00+00:00,36.2,13.563,,company_catalyst,COTY,"COTY SHAREHOLDER NOTICE: Coty Inc. (COTY) Sued After Surprise Profit Decline, CEO Exit, and Withdrawn 2026 Guidance -- Hagens Berman",https://www.prnewswire.com/news-releases/coty-shareholder-notice-coty-inc-coty-sued-after-surprise-profit-decline-ceo-exit-and-withdrawn-2026-guidance----hagens-berman-302754825.html
prnewswire,1,1,2026-04-27T22:19:00+00:00,42.2,13.417,semis_ai,,LU,Lufax Holding (LU) Faces Securities Class Action Amid Firing Auditor Who Raised Red Flags -- Hagens Berman,https://www.prnewswire.com/news-releases/lufax-holding-lu-faces-securities-class-action-amid-firing-auditor-who-raised-red-flags----hagens-berman-302754820.html
globenewswire,1,1,2026-04-27T21:39:00+00:00,82.2,12.508,transport,,PSHG,Performance Shipping Inc. Announces Filing of 2025 Annual Report on Form 20-F,https://www.globenewswire.com/news-release/2026/04/27/3282111/14069/en/Performance-Shipping-Inc-Announces-Filing-of-2025-Annual-Report-on-Form-20-F.html
marketwatch_top,2,0,2026-04-27T21:23:00+00:00,98.2,12.062,semis_ai;transport,,AI,Qualcomm’s stock gains as an AI opportunity emerges,https://www.marketwatch.com/story/qualcomms-stock-soars-as-an-ai-opportunity-emerges-14a6ed98?mod=mw_rss_topstories
marketwatch_top,2,0,2026-04-27T21:13:00+00:00,108.2,11.894,defense,conflict_risk,,Another former bull throws in the towel on Adobe’s stock. Here’s the software stock he now favors.,https://www.marketwatch.com/story/another-former-bull-throws-in-the-towel-on-adobes-stock-heres-the-software-stock-he-now-favors-4597c611?mod=mw_rss_topstories
noaa_nhc,2,0,2026-04-27T21:06:11+00:00,115.0,11.783,weather,weather_shock,,The Atlantic hurricane season runs from June 1st through November 30th.,https://www.nhc.noaa.gov/
eia_today,2,0,2026-04-27T14:00:00+00:00,541.2,11.735,semis_ai;biotech,policy_macro;company_catalyst,GW;SMR,Small modular reactors and microreactors under development in the United States,https://www.eia.gov/todayinenergy/detail.php?id=67584
marketwatch_top,2,0,2026-04-27T22:09:00+00:00,52.2,10.900,semis_ai,,AI,Arm’s stock snaps a seven-day winning streak as it loses some of its AI glow,https://www.marketwatch.com/story/arms-stock-snaps-a-seven-day-winning-streak-as-it-loses-some-of-its-ai-glow-8d390975?mod=mw_rss_topstories
prnewswire,1,1,2026-04-27T22:17:00+00:00,44.2,10.869,,,HTGC,"Hercules Capital (HTGC) Under Fire: Class Action Filed After Allegations of Copying Google Ventures, Misstated Marks, and PIK Loans -- Hagens Berman",https://www.prnewswire.com/news-releases/hercules-capital-htgc-under-fire-class-action-filed-after-allegations-of-copying-google-ventures-misstated-marks-and-pik-loans----hagens-berman-302754827.html
prnewswire,1,1,2026-04-27T22:16:00+00:00,45.2,10.845,,,GEMI,Gemini Space Station (GEMI) Facing Securities Class Action Following 75% Post-IPO Collapse - Hagens Berman,https://www.prnewswire.com/news-releases/gemini-space-station-gemi-facing-securities-class-action-following-75-post-ipo-collapse--hagens-berman-302754809.html
prnewswire,1,1,2026-04-27T22:16:00+00:00,45.2,10.845,,,IPO,Gemini Space Station (GEMI) Facing Securities Class Action Following 75% Post-IPO Collapse - Hagens Berman,https://www.prnewswire.com/news-releases/gemini-space-station-gemi-facing-securities-class-action-following-75-post-ipo-collapse--hagens-berman-302754809.html
prnewswire,1,1,2026-04-27T22:15:00+00:00,46.2,10.821,,,APO,"APO 4-DAY DEADLINE ALERT: Hagens Berman Alerts Apollo Global Management (APO) Investors to Securities Class Action Stemming From ""Epstein Files"" Revelations",https://www.prnewswire.com/news-releases/apo-4-day-deadline-alert-hagens-berman-alerts-apollo-global-management-apo-investors-to-securities-class-action-stemming-from-epstein-files-revelations-302754791.html
prnewswire,1,1,2026-04-27T22:15:00+00:00,46.2,10.821,,,VICI,LifeStance Health Group Set to Join S&amp;P SmallCap 600,https://www.prnewswire.com/news-releases/lifestance-health-group-set-to-join-sp-smallcap-600-302754864.html
businesswire,1,1,2026-04-27T20:09:00+00:00,172.2,10.815,semis_ai,,TV,"IAS lance les solutions IAS Total TV, offrant aux professionnels du marketing une transparence « de type linéaire » pour la télévision connectée",http://www.businesswire.com/news/home/20260427427733/fr/?feedref=JjAwJuNHiystnCoBq_hl-WsGkFyUNMTSNrPsg57HLEqqcp-o_pnudlUwsb5apQ1S4gUE65BTfjH3-pSuqdv0gW3cb3F4oTIgUqCPafFkgu5AneicJQDNboWvodvG82E0
