published,title,tagline,category,author,link,captured_at
2026-04-26T23:29:50-07:00,Subgrapher,"P2P desktop app for building, browsing, & sharing knowledge",,Srimallya,https://www.producthunt.com/products/subgrapher,2026-04-27T22:50:00Z
2026-04-26T20:22:37-07:00,Odyssey-2 Max,Physical accuracy takes a leap in world models,,Zac Zuo,https://www.producthunt.com/products/odyssey-5,2026-04-27T22:50:00Z
2026-04-26T19:24:51-07:00,Brew Finder,Discover the best coffee shops to work at around you,,Fadi Zaki,https://www.producthunt.com/products/brew-finder,2026-04-27T22:50:00Z
2026-04-26T13:22:53-07:00,VIDEO AI ME,Create videos with AI actors that sound and look real,"ai,devtool,design",Paul G,https://www.producthunt.com/products/video-ai-me,2026-04-27T22:50:00Z
2026-04-26T09:58:14-07:00,Atech,Snap-together electronics built from a chat,,Gustav Hugpd,https://www.producthunt.com/products/atech,2026-04-27T22:50:00Z
2026-04-26T04:12:50-07:00,Replyless,AI Email app that sends daily email briefs on Telegram,ai,Srivatsa Mudumby,https://www.producthunt.com/products/replylessai,2026-04-27T22:50:00Z
2026-04-26T01:25:12-07:00,Epismo Agent Package,Run agent workflows the community already built,ai,Hiroki,https://www.producthunt.com/products/epismo,2026-04-27T22:50:00Z
2026-04-26T00:59:29-07:00,Vouch API,AI equity research that proves it isn't lying,"ai,devtool",Owais Aslam,https://www.producthunt.com/products/vouch-api,2026-04-27T22:50:00Z
2026-04-25T07:58:42-07:00,Waitlister,The waitlist software to launch your product,,devin daymore,https://www.producthunt.com/products/waitlister,2026-04-27T22:50:00Z
2026-04-25T02:16:52-07:00,SNEWPapers,The World's First AI Newspaper Archive,ai,Brett Shinnebarger,https://www.producthunt.com/products/snewpapers,2026-04-27T22:50:00Z
2026-04-24T21:15:20-07:00,Claude Connectors,New connectors in Claude for everyday life,,Rohan Chaubey,https://www.producthunt.com/products/claude-connectors,2026-04-27T22:50:00Z
2026-04-24T20:54:05-07:00,GPT-5.5 by OpenAI,OpenAI's smartest and most intuitive to use model yet,ai,Rohan Chaubey,https://www.producthunt.com/products/openai,2026-04-27T22:50:00Z
2026-04-24T17:23:51-07:00,Pica,Fully native app for managing your fonts on MacOS,,Chris Messina,https://www.producthunt.com/products/pica,2026-04-27T22:50:00Z
2026-04-24T10:48:01-07:00,Orange Slice,Automate any sales task with AI,saas_prod,Garry Tan,https://www.producthunt.com/products/orange-slice,2026-04-27T22:50:00Z
2026-04-24T07:07:21-07:00,QuickCompare by Trismik,"Compare LLMs on your data, measure, and pick the best.",ai,Aleksandar Blazhev,https://www.producthunt.com/products/quickcompare-by-trismik,2026-04-27T22:50:00Z
2026-04-24T05:51:45-07:00,Edgee Team,Strava for your coding assistants,,fmerian,https://www.producthunt.com/products/edgee,2026-04-27T22:50:00Z
2026-04-24T03:56:33-07:00,Jet AI Agents,Build business AI agents in minutes,ai,Anton Svetlov,https://www.producthunt.com/products/jet-admin,2026-04-27T22:50:00Z
2026-04-23T23:06:02-07:00,Grok Voice Think Fast 1.0,Our most capable voice agent is now available via API,"ai,devtool",Ankit Sharma,https://www.producthunt.com/products/grok-voice-think-fast-1-0,2026-04-27T22:50:00Z
2026-04-23T21:39:59-07:00,TuneJourney.com,AI learns your listening habits and curates your live radio,ai,Binary,https://www.producthunt.com/products/tunejourney-com,2026-04-27T22:50:00Z
2026-04-23T19:04:58-07:00,Tyndale,Translate your app with the AI you already pay for,ai,Pedro Mendes,https://www.producthunt.com/products/tyndale,2026-04-27T22:50:00Z
2026-04-23T14:22:53-07:00,Mozart Studio 1.0,A Generative Audio Workstation with VSTs,,Chris Messina,https://www.producthunt.com/products/mozart-ai,2026-04-27T22:50:00Z
2026-04-23T11:36:14-07:00,MiMo-V2.5 Voice,"Bilingual ASR for dialects, code-switching, and songs",,Rohan Chaubey,https://www.producthunt.com/products/mimo-v2-5-voice,2026-04-27T22:50:00Z
2026-04-23T10:36:07-07:00,MailCue,Run as a fully hardened production email server.,,Akram H. Sharkar,https://www.producthunt.com/products/mailcue-realistic-email-testing-server,2026-04-27T22:50:00Z
2026-04-23T07:43:39-07:00,Haiker,Hacker News App for non-native english speaker,,Randy,https://www.producthunt.com/products/haiker,2026-04-27T22:50:00Z
2026-04-23T06:09:27-07:00,Universal Gas Framework (UGF),"Route Actions, Not Liquidity",devtool,Yash Singh,https://www.producthunt.com/products/universal-gas-framework-ugf,2026-04-27T22:50:00Z
2026-04-23T05:41:19-07:00,NotchNest AI,AI powered by Apple Intelligence now in your Notch,ai,Satnam,https://www.producthunt.com/products/notchnest-quick-access-hub,2026-04-27T22:50:00Z
2026-04-23T03:43:25-07:00,Nordcraft 2.0,I design agent with full HTML/CSS control and SSR,"ai,design",Salma Alam-Naylor,https://www.producthunt.com/products/toddle,2026-04-27T22:50:00Z
