ticker,company,exchange,country_iso,headline,kind,publisher,issued_at,url,captured_at
VALE3.SA,Vale,B3,BRA,Vale S.A. (VALE) Announces Production and Sales Results for Q1 2026,results,Insider Monkey,2026-04-27T05:30:01Z,https://finance.yahoo.com/markets/stocks/articles/vale-vale-announces-production-sales-053001451.html,2026-04-27T06:31:25+00:00
PETR4.SA,Petrobras,B3,BRA,"DVYE’s 5.1% Yield Hides a Commodity Bet, Here’s What Retirees Should Know",other,24/7 Wall St.,2026-04-24T17:27:01Z,https://247wallst.com/investing/2026/04/24/dvyes-5-1-yield-hides-a-commodity-bet-heres-what-retirees-should-know/,2026-04-27T06:31:25+00:00
VALE3.SA,Vale,B3,BRA,"DVYE’s 5.1% Yield Hides a Commodity Bet, Here’s What Retirees Should Know",other,24/7 Wall St.,2026-04-24T17:27:01Z,https://247wallst.com/investing/2026/04/24/dvyes-5-1-yield-hides-a-commodity-bet-heres-what-retirees-should-know/,2026-04-27T06:31:25+00:00
PETR4.SA,Petrobras,B3,BRA,How Chris Ong helped Seatrium emerge from a messy merger between two shipyards to become a profitable offshore oil and wind giant,results,Fortune,2026-04-23T21:00:00Z,https://finance.yahoo.com/sectors/energy/articles/chris-ong-helped-seatrium-emerge-210000256.html,2026-04-27T06:31:25+00:00
ABEV3.SA,Ambev,B3,BRA,Ambev S.A. (ABEV) Downgraded by UBS on Risk/Reward Concerns,ratings,Insider Monkey,2026-04-22T19:45:06Z,https://finance.yahoo.com/markets/stocks/articles/ambev-abev-downgraded-ubs-risk-194506274.html,2026-04-27T06:31:25+00:00
VALE3.SA,Vale,B3,BRA,Vale S.A. (VALE) Gets Downgraded by Barclays Over Upcoming Seasonality Headwinds,ratings,Insider Monkey,2026-04-22T19:41:21Z,https://finance.yahoo.com/markets/stocks/articles/vale-vale-gets-downgraded-barclays-194121926.html,2026-04-27T06:31:25+00:00
ITUB4.SA,Itau,B3,BRA,What Makes Banco Itau (ITUB) a New Buy Stock,other,Zacks,2026-04-22T16:00:03Z,https://finance.yahoo.com/markets/stocks/articles/makes-banco-itau-itub-buy-160003624.html,2026-04-27T06:31:25+00:00
VALE3.SA,Vale,B3,BRA,Vale Gears Up to Report Q1 Earnings: Here's What to Expect,results,Zacks,2026-04-22T14:45:00Z,https://finance.yahoo.com/markets/stocks/articles/vale-gears-report-q1-earnings-144500068.html,2026-04-27T06:31:25+00:00
PETR4.SA,Petrobras,B3,BRA,Petrobras (PBR): Wall Street Just Turned More Bullish — Here’s Why,other,Insider Monkey,2026-04-22T06:36:30Z,https://finance.yahoo.com/sectors/energy/articles/petrobras-pbr-wall-street-just-063630308.html,2026-04-27T06:31:25+00:00
PETR4.SA,Petrobras,B3,BRA,"NDIV Targets 10% Annual Income From Energy Stocks, but Three Holdings Pose Real Risk",other,24/7 Wall St.,2026-04-21T14:37:26Z,https://247wallst.com/investing/2026/04/21/ndiv-targets-10-annual-income-from-energy-stocks-but-three-holdings-pose-real-risk/,2026-04-27T06:31:25+00:00
