filed_utc,kind,title,link,summary
2026-04-24T00:00:00Z,cftc_general,Form PF; Reporting Requirements for All Filers,https://www.federalregister.gov/documents/2026/04/24/2026-07993/form-pf-reporting-requirements-for-all-filers,"The Commodity Futures Trading Commission (the ""CFTC"") and the Securities and Exchange Commission (the ""SEC"") (collectively, ""we"" or the ""Commissions"") are proposing to amend Form PF, the confidential reporting form for certain SEC-registered investment advisers to private funds, including those that also are registered with the CFTC as a commodity pool operator (a ""CPO"") or a commodity trading..."
2026-04-20T00:00:00Z,customer_protection,"Order Providing Exemptive Relief To Facilitate Cross-Margining of Customer Positions Cleared at Chicago Mercantile Exchange, Inc. and Fixed Income Clearing Corporation",https://www.federalregister.gov/documents/2026/04/20/2026-07643/order-providing-exemptive-relief-to-facilitate-cross-margining-of-customer-positions-cleared-at,"The Commodity Futures Trading Commission (""CFTC"" or ""Commission"") is issuing an order pursuant to the Commodity Exchange Act (""CEA"") that provides exemptive relief from the CEA and Commission regulations related to segregation and protection of futures customer funds. The order permits joint clearing members of the Chicago Mercantile Exchange, Inc. (""CME"") and the Fixed Income Clearing..."
2026-03-25T00:00:00Z,swap_dealer,"Agency Information Collection Activities: Notice of Intent To Extend Collection 3038-0072, Registration of Swap Dealers and Major Swap Participants",https://www.federalregister.gov/documents/2026/03/25/2026-05792/agency-information-collection-activities-notice-of-intent-to-extend-collection-3038-0072,"The Commodity Futures Trading Commission (""CFTC"" or ""Commission"") is announcing an opportunity for public comment on the proposed renewal of a collection of certain information by the agency. Under the Paperwork Reduction Act of 1995 (""PRA""), Federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including each proposed..."
2026-03-24T00:00:00Z,cftc_general,Agency Information Collection Activities: Notice of Intent To Extend Collection 3038-0090: Adaptation of Regulations To Incorporate Swaps-Records of Transactions; Exclusion of Utility Operations Related Swaps With Utility Special Entities From De Minimis Threshold for Swaps With Special Entities,https://www.federalregister.gov/documents/2026/03/24/2026-05720/agency-information-collection-activities-notice-of-intent-to-extend-collection-3038-0090-adaptation,"The Commodity Futures Trading Commission (""CFTC"" or ""Commission"") is announcing an opportunity for public comment on the proposed renewal of a collection of certain information by the agency. Under the Paperwork Reduction Act (""PRA""), Federal agencies are required to publish notice in the Federal Register concerning each proposed collection of information, including proposed extension of an..."
2026-03-23T00:00:00Z,crypto_derivatives,Application of the Federal Securities Laws to Certain Types of Crypto Assets and Certain Transactions Involving Crypto Assets,https://www.federalregister.gov/documents/2026/03/23/2026-05635/application-of-the-federal-securities-laws-to-certain-types-of-crypto-assets-and-certain,"The Securities and Exchange Commission (""Commission"" or ""SEC"") issues herein an interpretation regarding the application of the Federal securities laws to certain types of crypto assets and certain transactions involving crypto assets. The references in this release to ""we"" and ""our"" are to the Commission. The Commodity Futures Trading Commission (""CFTC"") provides herein guidance relating to that..."
2026-03-19T00:00:00Z,cftc_general,Agency Information Collection Activities Under OMB Review,https://www.federalregister.gov/documents/2026/03/19/C1-2026-03761/agency-information-collection-activities-under-omb-review,
2026-03-18T00:00:00Z,climate_esg,Request for Information on Climate-Related Financial Risk; Withdrawal,https://www.federalregister.gov/documents/2026/03/18/2026-05314/request-for-information-on-climate-related-financial-risk-withdrawal,"The Commodity Futures Trading Commission (""Commission"" or ""CFTC"") is formally withdrawing a request for information published on June 8, 2022, titled ""Request for Information on Climate-Related Financial Risk."""
2026-03-16T00:00:00Z,proposed_rule,Prediction Markets,https://www.federalregister.gov/documents/2026/03/16/2026-05105/prediction-markets,"The Commodity Futures Trading Commission (Commission or CFTC) is issuing this Advance Notice of Proposed Rulemaking and seeking public comment regarding event contract derivatives traded on markets commonly referred to as ""prediction markets."" In particular, the Commission is seeking information and public comment on statutory core principles and Commission regulations that apply to prediction..."
2026-03-05T00:00:00Z,cftc_general,Agency Information Collection Activities: Notice of Intent To Renew Collection 3038-0119: Qualification Information for Candidates to Advisory Committees and Subcommittees,https://www.federalregister.gov/documents/2026/03/05/2026-04395/agency-information-collection-activities-notice-of-intent-to-renew-collection-3038-0119,"The Commodity Futures Trading Commission (""Commission"" or ""CFTC"") is announcing an opportunity for public comment on the proposed collection of qualification information for advisory committee and subcommittee candidates by the agency. Under the Paperwork Reduction Act (""PRA""), Federal agencies are required to publish notice in the Federal Register concerning each proposed collection of..."
2026-02-27T00:00:00Z,cftc_general,Agency Information Collection Activities Under OMB Review,https://www.federalregister.gov/documents/2026/02/27/2026-03983/agency-information-collection-activities-under-omb-review,"In compliance with the Paperwork Reduction Act of 1995 (PRA), this notice announces that the Information Collection Request (ICR) abstracted below has been forwarded to the Office of Information and Regulatory Affairs (OIRA), of the Office of Management and Budget (OMB), for review and comment. The ICR describes the nature of the information collection and its expected costs and burden."
2026-02-26T00:00:00Z,cftc_general,Agency Information Collection Activities Under OMB Review,https://www.federalregister.gov/documents/2026/02/26/2026-03890/agency-information-collection-activities-under-omb-review,"In compliance with the Paperwork Reduction Act of 1995 (""PRA""), this notice announces that the Information Collection Request (""ICR"") abstracted below has been forwarded to the Office of Information and Regulatory Affairs (""OIRA"") of the Office of Management and Budget (""OMB"") for review and comment. The ICR describes the nature of the information collection and its expected costs and burden."
