filed,kind,title,company_raw,url,captured_at
2026-04-27,other,New FTC Data Show People Have Lost Billions to Social Media Scams,,https://www.ftc.gov/news-events/news/press-releases/2026/04/new-ftc-data-show-people-have-lost-billions-social-media-scams,2026-04-27T22:56:36Z
2026-04-27,enforcement,FTC Takes Action Against High-Level MLM Participants who Deceived Workers About the Amount of Money They Can Earn,,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-against-high-level-mlm-participants-who-deceived-workers-about-amount-money-they,2026-04-27T22:56:36Z
2026-04-23,other,FTC Charts Path to Restore Competition in Texas Anesthesia Markets in USAP Litigation,U.S. Anesthesia Partners Inc,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-charts-path-restore-competition-texas-anesthesia-markets-usap-litigation,2026-04-27T22:56:36Z
2026-04-22,other,FTC Sues to Stop Deceptive Health Care Scheme,,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-sues-stop-deceptive-health-care-scheme,2026-04-27T22:56:36Z
2026-04-20,enforcement,Court Orders Operator of Timeshare Exit Scheme to Pay $140 Million Related to FTC Allegations the Scheme Took Millions from Consumers,,https://www.ftc.gov/news-events/news/press-releases/2026/04/court-orders-operator-timeshare-exit-scheme-pay-140-million-related-ftc-allegations-scheme-took,2026-04-27T22:56:36Z
2026-04-17,other,FTC and DOJ Extend Deadline for Public Comment on Guidance on Business Collaborations,,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-doj-extend-deadline-public-comment-guidance-business-collaborations,2026-04-27T22:56:36Z
2026-04-16,enforcement,FTC Stops Operation that Allegedly Targeted People Seeking Student Loan Debt Relief,,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-stops-operation-allegedly-targeted-people-seeking-student-loan-debt-relief,2026-04-27T22:56:36Z
2026-04-15,other,FTC Takes Action to Restore Competition in the Digital Advertising Ecosystem,,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-restore-competition-digital-advertising-ecosystem,2026-04-27T22:56:36Z
2026-04-15,testimony,"FTC Testifies Before Senate Commerce, Science and Transportation Committee",,https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-testifies-senate-commerce-science-transportation-committee,2026-04-27T22:56:36Z
2026-04-15,enforcement,"FTC Takes Action Against Noncompete Agreements, Securing Protections for Workers","Rollins, Inc",https://www.ftc.gov/news-events/news/press-releases/2026/04/ftc-takes-action-against-noncompete-agreements-securing-protections-workers,2026-04-27T22:56:36Z
