agency,docket_id,docket_type,title,last_modified,captured_at
FAA,FAA-2020-0775,Nonrulemaking,The Aerial Filming Company - Exemption/Rulemaking,2026-04-27T16:40:15,2026-04-27T17:55:03Z
FAA,FAA-2026-4456,Nonrulemaking,Trinity Ag Drone LLC - Exemption/Rulemaking,2026-04-27T15:03:02,2026-04-27T17:55:03Z
FAA,FAA-2024-1528,Nonrulemaking,"Save A Connie, Inc. dba Airline History Museum v. Kansas City Aviation Department and City of Kansas City, Missouri (16-24-04)",2026-04-27T14:58:00,2026-04-27T17:55:03Z
FAA,FAA-2026-4427,Nonrulemaking,"Skyways Air Transportation, Inc. - Exemption/Rulemaking",2026-04-27T14:33:00,2026-04-27T17:55:03Z
FAA,FAA-2026-4099,Nonrulemaking,G&P Farm Partnership - Exemption/Rulemaking,2026-04-27T14:32:19,2026-04-27T17:55:03Z
FAA,FAA-2026-3971,Nonrulemaking,"MacCrop, LLC - Exemption/Rulemaking",2026-04-27T14:31:44,2026-04-27T17:55:03Z
FAA,FAA-2026-2084,Nonrulemaking,Truss Services LLC - Exemption/Rulemaking,2026-04-27T14:31:12,2026-04-27T17:55:03Z
FAA,FAA-2024-0987,Nonrulemaking,"J. Oros Environmental, Inc. - Exemption/Rulemaking",2026-04-27T14:30:36,2026-04-27T17:55:03Z
FAA,FAA-2024-0915,Nonrulemaking,Pritchett Contracting LLC - Exemption/Rulemaking,2026-04-27T14:29:22,2026-04-27T17:55:03Z
FAA,FAA-2024-0577,Nonrulemaking,HLH Aviation - Exemption/Rulemaking,2026-04-27T14:26:23,2026-04-27T17:55:03Z
FAA,FAA-2024-0293,Nonrulemaking,AeroApplied LLC - Exemption/Rulemaking,2026-04-27T14:24:57,2026-04-27T17:55:03Z
FAA,FAA-2026-4629,Nonrulemaking,"Mid-Tennessee Aerial Ag, LLC - Exemption/Rulemaking",2026-04-27T14:24:11,2026-04-27T17:55:03Z
FAA,FAA-2026-4628,Nonrulemaking,"Maverick Aeriall, LLC - Exemption/Rulemaking",2026-04-27T14:22:37,2026-04-27T17:55:03Z
FAA,FAA-2026-4627,Nonrulemaking,Devin Burlage - Exemption/Rulemaking,2026-04-27T14:19:38,2026-04-27T17:55:03Z
FAA,FAA-2026-4626,Nonrulemaking,Jaden Serbus - Exemption/Rulemaking,2026-04-27T14:17:45,2026-04-27T17:55:03Z
FTC,FTC-2026-0364,Nonrulemaking,FTC Seek Comments for the Paperwork Reduction Act: OMB 3084-0131,2026-04-27T12:26:15,2026-04-27T17:55:03Z
FTC,FTC-2026-0463,Rulemaking,FTC Seek Comments on ANPRM; Food Delivery Fees; Project No. P267101,2026-04-27T12:21:40,2026-04-27T17:55:03Z
FTC,FTC-2026-0529,Rulemaking,Petition for Rulemaking of Animal Rescuers for Change,2026-04-27T12:18:28,2026-04-27T17:55:03Z
FTC,FTC_FRDOC_0001,Rulemaking,FTC FRDOC Temporary Docket,2026-04-24T14:14:35,2026-04-27T17:55:03Z
FTC,FTC-2026-0464,Nonrulemaking,FTC Seek Analysis to Aid Public Comment on Proposed Consent Order; Publishing.com; Matter No. 2423055,2026-04-23T12:03:01,2026-04-27T17:55:03Z
FTC,FTC-2026-0562,Nonrulemaking,"FTC Seek Analysis to Aid Public Comment on Proposed Agreement; Rollins, Inc.; Matter No. 251 0011",2026-04-22T13:13:34,2026-04-27T17:55:03Z
FTC,FTC-2026-0331,Rulemaking,Petition of Northrop Grumman to Reopen and Set Aside Decision and Order,2026-04-21T18:12:13,2026-04-27T17:55:03Z
FTC,FTC-2026-0397,Rulemaking,"FTC Seek Comments on Petition for Rulemaking of Andrew Gonzalez, Matter No. R607002",2026-04-21T15:19:40,2026-04-27T17:55:03Z
FTC,FTC-2026-0497,Nonrulemaking,PRA Comment Request; Risk-Based Pricing Rule; FTC File No. P145403,2026-04-17T13:13:45,2026-04-27T17:55:03Z
FTC,FTC-2026-0496,Nonrulemaking,PRA Comment Request; Dispute Settlement Rule; FTC File No. P044403,2026-04-17T13:06:05,2026-04-27T17:55:03Z
FTC,FTC-2026-0431,Nonrulemaking,FTC Seek Analysis to Aid Public Comment on Proposed Consent Agreement; TruHeight; Matter No. 2423093,2026-04-15T12:44:04,2026-04-27T17:55:03Z
FTC,FTC-2026-0430,Nonrulemaking,Granting of Requests for Early Termination of the Waiting Period Under the Premerger Notification Rules,2026-04-15T12:38:39,2026-04-27T17:55:03Z
FTC,FTC-2026-0265,Rulemaking,FTC Seek Comments on Negative Option Rule ANPRM; Project No. P060242,2026-04-14T05:21:15,2026-04-27T17:55:03Z
FTC,FTC-2026-0266,Rulemaking,FTC Seek Comments on Unfair or Deceptive Rental Housing Fee Practices ANPRM; Project No. R207011,2026-04-14T04:55:24,2026-04-27T17:55:03Z
FTC,FTC-2026-0298,Nonrulemaking,Request for Public Comment Regarding Making Improvements to  the Premerger Notification and Report Form,2026-04-07T14:33:53,2026-04-27T17:55:03Z
