filed_utc,kind,title,link,summary
2026-04-27T12:00:00Z,sg_leadership,"As warheads proliferate, decades old nuclear weapons treaty must evolve, warns UN chief",https://news.un.org/feed/view/en/story/2026/04/1167387,"With top diplomats gathered at UN Headquarters to review the 1970 Treaty on the Non-Proliferation of Nuclear Weapons (NPT), the UN Secretary-General warned that it must evolve to survive the age of AI and other new technologies."
2026-04-27T12:00:00Z,sudan_conflict,"Central Sahel: Millions of children in humanitarian need, UNICEF official warns",https://news.un.org/feed/view/en/story/2026/04/1167385,"Nearly 7.5 million children across the Central Sahel region in Africa are in urgent need of humanitarian assistance – “an emergency that remains too far from the attention of the international community,” a senior official with the UN child rights agency UNICEF has said."
2026-04-27T12:00:00Z,sg_leadership,"MIDDLE EAST LIVE 27 April: Everyone’s paying the price for Hormuz closure, Guterres warns Security Council",https://news.un.org/feed/view/en/story/2026/04/1167384,"The recently extended ceasefire between Israel and Lebanon remains under strain as violence continues, with civilian deaths and injuries reported in Israeli strikes over the weekend. Meanwhile, the Security Council is debating maritime security with the UN chief calling on nations restricting ship movement through the Strait of Hormuz to “let the global economy breathe.” Follow in-depth meeting co"
2026-04-26T12:00:00Z,press,Chokepoints and conflict: How the Hormuz crisis is exposing global shipping vulnerabilities,https://news.un.org/feed/view/en/story/2026/04/1167383,"The blockading of ships in the Strait of Hormuz as a result of the conflict between the United States and Iran has demonstrated how ships and seafarers have become “leverage in geopolitical disputes,” according to the head of the UN’s International Maritime Organization (IMO)."
2026-04-26T12:00:00Z,climate_environ,"Renewables rising, Part 2: Seeking stability amid volatile fossil fuel markets",https://news.un.org/feed/view/en/story/2026/04/1167368,"As global energy markets remain volatile and the price of oil high due to instability and conflict in the Middle East, more countries are looking at investing in renewables to shield their economies from the shocks caused by fossil fuel reliance, rein in import bills – and meet key climate action targets."
2026-04-26T12:00:00Z,sg_leadership,Mali: Guterres calls for international solutions to curb spread of violent extremism in the Sahel,https://news.un.org/feed/view/en/story/2026/04/1167382,"There are reports of continuing clashes in Mali on Sunday, a day after a series of coordinated attacks across the landlocked African nation against Government forces by extremists and northern separatist rebels."
2026-04-25T12:00:00Z,press,South Pacific islanders strive to rescue their home from toxic legacy,https://news.un.org/feed/view/en/story/2026/04/1167381,"More than 80 years after World War Two, the Solomon Islands remain one of the most heavily mine-contaminated places in the Pacific."
2026-04-25T12:00:00Z,press,"Renewables rising, Part 1: How four countries are reshaping energy security",https://news.un.org/feed/view/en/story/2026/04/1167366,"The ongoing insecurity in the Middle East, where a large proportion of the world’s oil and gas is extracted, is forcing many countries to focus on how they can ensure access to cheap and reliable energy supplies primarily through the use of renewable power sources."
2026-04-25T12:00:00Z,press,A race for rights: How sport is helping protect girls in Uganda,https://news.un.org/feed/view/en/story/2026/04/1167372,"On a red running track in eastern Uganda, coach Zuena Cheptoek is doing more than training runners. For many girls in the Sebei subregion, she is also a confidante, a mentor and first line of protection against female genital mutilation, child marriage and abuse."
2026-04-24T12:00:00Z,press,Rising nuclear risks put global security pact to the test at UN Headquarters,https://news.un.org/feed/view/en/story/2026/04/1167380,"At a moment of mounting nuclear danger and deepening global mistrust, governments from nearly every country have convened at United Nations Headquarters to confront a central question: will the world’s main barrier against the spread of nuclear weapons still hold?"
2026-04-24T12:00:00Z,press,"World News in Brief: Airliner safety warning, drought in Somalia, solar boosts farming in Ethiopia",https://news.un.org/feed/view/en/story/2026/04/1167379,"The head of the UN’s civil aviation agency, ICAO, has called for immediate global action to protect commercial flights from escalating military threats, including missiles, drones, and GPS signal jamming."
2026-04-24T12:00:00Z,health_who,"For every generation, vaccines work and they have saved over 150 million lives: WHO",https://news.un.org/feed/view/en/story/2026/04/1167377,"Over the past 50 years, vaccines have saved more than 150 million lives, as ordinary people chose to protect themselves, their children and their communities from diseases like measles, diphtheria, pertussis, polio, and rotavirus."
2026-04-24T12:00:00Z,gaza_israel,"As Gaza misery continues, shortages in Iran begin to bite",https://news.un.org/feed/view/en/story/2026/04/1167376,"Desperate and dangerous conditions in Gaza continue to hamper recovery efforts for the wartorn enclave's people, the UN health agency said on Friday, while demining experts warned that they’ve “barely scratched the surface” in assessing the level of contamination of unexploded ordnance."
2026-04-24T12:00:00Z,peacekeeping,MIDDLE EAST LIVE 24 April: Israel-Lebanon ceasefire extended as humanitarian concerns persist,https://news.un.org/feed/view/en/story/2026/04/1167375,"The United States has announced that the Israel-Lebanon ceasefire will be extended by three weeks following talks in Washington, offering a potential pause in hostilities. Meanwhile, humanitarian concerns are growing over shortages in Iran and Gaza, while another UN peacekeeper has died after coming under fire. Stay with us for live updates."
2026-04-24T12:00:00Z,food_insecurity,Two-thirds of global hunger concentrated in 10 conflict-hit countries,https://news.un.org/feed/view/en/story/2026/04/1167374,"A growing share of global hunger is becoming entrenched in a small group of conflict-hit countries, with two-thirds of people facing acute food insecurity concentrated in just 10 nations, a major international report backed by UN agencies warns."
2026-04-23T12:00:00Z,gaza_israel,"World News in Brief: Civilians at risk in Gaza and West Bank, Duterte to go on trial in ICC, Yemen detainees update",https://news.un.org/feed/view/en/story/2026/04/1167373,"Continued strikes, shelling and gunfire in residential areas of Gaza are raising alarm over civilian safety, the UN relief coordination office OCHA has warned."
2026-04-23T12:00:00Z,human_rights,UN rights chief urges action to end impunity and address disappearances in Mexico,https://news.un.org/feed/view/en/story/2026/04/1167371,"Mexican authorities must intensify efforts to end impunity, protect journalists and human rights defenders, and address the country’s “painful” crisis of disappearances, UN human rights chief Volker Türk has said."
2026-04-23T12:00:00Z,health_who,WHO says billions saw health gains in 2025 despite funding cuts,https://news.un.org/feed/view/en/story/2026/04/1167370,"Despite significant funding cuts, the World Health Organization (WHO) was able to support significant national health gains for hundreds of millions of people in 2025, according to its annual Results Report released on Thursday."
2026-04-23T12:00:00Z,gaza_israel,Devastation at every turn greets UN aid mission to south Lebanon,https://news.un.org/feed/view/en/story/2026/04/1167367,"A UNICEF relief mission reached a large hospital in the southern Lebanese town of Tebnine on Thursday, only to find massive destruction and staggering needs."
2026-04-23T12:00:00Z,press,"Despite ceasefire, Hormuz tensions continue to throttle supply chains worldwide",https://news.un.org/feed/view/en/story/2026/04/1167365,"A temporary ceasefire between the United States and Iran has been extended, offering an opening for diplomacy – but persistent tensions in the Strait of Hormuz are compounding trade disruptions and intensifying pressure on humanitarian operations and vulnerable communities far beyond the Gulf."
